peraturan1,peraturan2,sumber1,sumber2,similaritas
"Untuk pola penyaluran tidak langsung sebagaimana
dimaksud dalam Pasal 3 ayat (1) huruf b, tarif
pembiayaan dengan tingkat suku bunga efektif per
tahun sebagaimana dimaksud pada ayat (1) dikenakan
kepada penyalur paling tinggi sebesar 2% (dua persen)
dari realisasi penyaluran pembiayaan oleh Badan
Layanan Umum Pusat Investasi Pemerintah pada
Kementerian Keuangan dan kepada lembaga linkage
paling tinggi sebesar 6% (enam persen) dari realisasi
penyaluran pembiayaan oleh penyalur.","Staf Ahli Bidang Peran Masyarakat mempunyai tugas memberikan telaahan kepada Meneg LH mengenai
peran masyarakat.",permen-1-2021-5.pdf,permen-9-2001-5.pdf,netral
"Penetapan tarif layanan sebagaimana dimaksud pada
ayat (2) dan ayat (3) mempertimbangkan paling sedikit
meliputi suku bunga kepada debitur, keperluan 
pembiayaan, tata cara pencairan dana, dan/ atau
wilayah penyaluran.","Subbagian Protokol mempunyai tugas melakukan urusan keprotokolan Bagian ke Empat Biro
Perencanaan dan Kerja Sama Luar Negeri.",permen-1-2021-5.pdf,permen-9-2001-5.pdf,netral
"Ketentuan lebih lanjut mengenai besaran tarif
pembiayaan ultra mikro melalui pembiayaan
konvensional, jangka waktu pembiayaan, pengembalian
pokok pembiayaan, pembayaran bunga pembiayaan,
sanksi, peninjauan kembali pembiayaan, jaminan,
tingkat suku bunga di debitur dan/atau denda diatur
dalam perjanjian antara Badan Layanan Umum Pusat
Investasi Pemerintah pada Kementerian Keuangan
dengan penyalur.","Bagi permohonan sebagaimana dimaksud dalam ayat (2) huruf a, persetujuan RPTK
dikeluarkan oleh Meninves/Kepala BKPM atas nama Menteri Tenaga Kerja dalam
bentuk Surat Keputusan (SK) RPTK, disampaikan kepada pemohon dengan
tembusan kepada Dep. Tenaga Kerja, Dep. Teknis yang bersangkutan dan BKPMD
setempat.",permen-1-2021-5.pdf,permen-38-1999-5.pdf,netral
"Tarif layanan pembiayaan ultra mikro melalui
pembiayaan syariah sebagaimana dimaksud dalam
Pasal 2 huruf b merupakan tarif pembiayaan kepada
penyalur dan/ atau lembaga linkage dalam bentuk
imbal hasil sesuai dengan prinsip syariah.","Penambahan lnvestasi Pemerintah kepada LKI dapat 
melebihi nilai sebagaimana dimaksud dalam Pasal 4 sampai 
dengan Pasal 8 sepanjang diakibatkan oleh selisih kurs, 
sebagaimana diatur dalam Undang-Undang mengenai 
Anggaran Pendapatan dan Belanja Negara tahun berjalan. ",permen-1-2021-5.pdf,permen-50-2019-5.pdf,netral
"Imbal hasil sebagaimana dimaksud pada ayat (1) paling
tinggi setara dengan tarif melalui pembiayaan
konvensional sesuai dengan kesepakatan antara Badan
Layanan Umum Pusat Investasi Pemerintah pada
Kementerian Keuangan dan penyalur.","Untuk menyusun Neraca Awal Daerah, Kepala Daerah
dapat secara bertahap melakukan penilaian terhadap
seluruh aset Daerah yang dilakukan oleh Lembaga
Independen bersertifikat bidang pekerjaan penilaian aset
dengan mengacu pada Pedoman Penilaian Aset Daerah
yang dikeluarkan oleh Menteri Dalam Negeri Republik
Indonesia.",permen-1-2021-5.pdf,permen-29-2002-5.pdf,netral
"Penyalur sebagaimana dimaksud pada ayat (1) terdiri
atas penyalur yang dimiliki oleh Pemerintah
Pusat/Pemerintah Daerah atau terafiliasi dengan
lembaga milik Pemerintah Pusat/Pemerintah
Daerah yang menjalankan prinsip syariah dan 
penyalur selain yang dimiliki oleh Pemerintah
Pusat/Pemerintah Daerah atau terafiliasi dengan
lembaga milik Pemerintah Pusat/Pemerintah
Daerah yang menjalankan prinsip Syariah.","Proses penerapan manajemen risiko dilakukan
berdasarkan kebijakan dan strategi manajemen risiko
sebagaimana dimaksud pada ayat (1) yang paling
kurang memuat:
a. pengidentifikasian semua risiko yang mungkin
timbul dalam kegiatan investasi;
b. penjelasan mengenai penyebab dari timbulnya
risiko;
c. pengidentifikasian kemungkinan terjadinya
risiko;
d. penjelasan tentang implikasi atas terjadinya
risiko; dan
e. langkah-langkah yang wajib dilakukan dalam hal
risiko terjadi.
",permen-1-2021-5.pdf,permen-53-2020-5.pdf,netral
"Ketentuan lebih lanjut mengenai besaran tarif
pembiayaan ultra mikro melalui pembiayaan syariah,
jangka waktu pembiayaan, pengembalian pokok 
pembiayaan, pembayaran bagi hasil pembiayaan,
sanksi, peninjauan kembali pembiayaan, jaminan,
tingkat margin di debitur, dan/atau denda diatur dalam
perjanjian antara Badan Layanan Umum Pusat
Investasi Pemerintah pada Kementerian Keuangan
dengan penyalur.","Industri adalah seluruh bentuk kegiatan ekonomi yang
mengolah bahan baku dan/atau memanfaatkan sumber
daya industri sehingga menghasilkan barang yang
mempunyai nilai tambah atau manfaat lebih tinggi,
termasuk jasa industri.",permen-1-2021-5.pdf,permen-64-2016-5.pdf,netral
"Badan Layanan Umum Pusat Investasi Pemerintah
pada Kementerian Keuangan dapat memberikan jasa
layanan pembiayaan ultra mikro kepada penyalur
dan/atau lembaga linkage dalam bentuk kerja sama
pendanaan dengan pemerintah daerah dan/atau pihak
lainnya.","Surat Rekomendasi dan Surat Keterangan IKTA sementara sebagaimana dimaksud
dalam ayat (2) dan ayat (3) diterbitkan selambat-lambatnya 4 (empat) hari kerja sejak
permohonan yang lengkap dan benar diterima.",permen-1-2021-5.pdf,permen-38-1999-5.pdf,netral
"Kerja sama pendanaan sebagaimana dimaksud pada
ayat (1) merupakan gabungan dana dengan proporsi
tertentu antara Badan Layanan Umum Pusat Investasi
Pemerintah pada Kementerian Keuangan, pemerintah
daerah, dan/ atau pihak lainnya.","Subbidang Dampak dan Tanggap Wilayah mempunyai tugas melakukan penyiapan bahan koordinasi,
telaah staf, pengkajian dan evaluasi penyusunan rancangan rumusan kebijaksanaan antisipasi dampak
dan tanggap perubahan iklim di daerah.",permen-1-2021-5.pdf,permen-9-2001-5.pdf,netral
"Tarif layanan pembiayaan ultra mikro kepada penyalur
dan/atau lembaga linkage dengan menggunakan kerja
sama pendanaan sebagaimana dimaksud pada ayat (1)
meliputi untuk pembiayaan konvensional dengan pola
penyaluran langsung, dikenakan tarif dalam
bentuk tingkat suku bunga efektif per tahun paling
tinggi sebesar 4% (empat persen) dari realisasi
penyaluran pembiayaan oleh Badan Layanan
Umum Pusat Investasi Pemerintah pada
Kementerian Keuangan, untuk pembiayaan konvensional dengan pola
penyaluran tidak langsung, dikenakan tarif dalam
bentuk tingkat suku bunga efektif per tahun paling
tinggi sebesar 2% (dua persen) dari realisasi
penyaluran pembiayaan oleh Badan Layanan
Umum Pusat Investasi Pemerintah pada 
Kementerian Keuangan dan paling tinggi se besar
6% (enam persen) kepada lembaga linkage dari
realisasi penyaluran pembiayaan oleh penyalur 
dan untuk pembiayaan syariah, dengan pola
penyaluran langsung dan tidak langsung kepada
penyalur dan/ atau lembaga linkage sesuai dengan
prinsip syariah dalam bentuk imbal hasil paling
tinggi setara dengan tarif pembiayaan
konvensional sesuai dengan kesepakatan antara
Badan Layanan Umum Pusat Investasi Pemerintah
pada Kementerian Keuangan dan penyalur.",Setmeneg dipimpin oleh Sekretaris Meneg yang selanjutnya disingkat Sesmen.,permen-1-2021-5.pdf,permen-9-2001-5.pdf,netral
"Badan Layanan Umum Pusat Investasi Pemerintah
pada Kementerian Keuangan dapat melakukan kerja
sama program dengan pihak lain untuk meningkatkan
layanan jasa di bidang pembiayaan ultra mikro dan
pelaksanaan investasi pemerintah.","Divestasi sebagaimana dimaksud pada ayat (1) meliputi: 
a.Penjualan surat berharga; dan/atau 
b.Penjualan kepemilikan investasi langsung.",permen-1-2021-5.pdf,permen-52-2012-5.pdf,netral
"Tarif layanan kerja sama program dengan pihak lain
sebagaimana dimaksud pada ayat (1) ditetapkan dalam
kontrak kerja sama program antara Direktur Utama
Badan Layanan Umum Pusat Investasi Pemerintah
pada Kementerian Keuangan dengan pemerintah
daerah dan/atau pihak lain.","Dalam hal terjadi retur atas pencairan dana Investasi
Pemerintah sebagaimana dimaksud dalam Pasal 41, Bank
Indonesia dan/atau bank umum mengembalikan
dan/atau membukukan dana tersebut ke RIBUN.
",permen-1-2021-5.pdf,permen-53-2020-5.pdf,netral
"Tarif layanan kerja sama program dengan pihak lain
sebagaimana dimaksud pada ayat (1) ditetapkan dalam
kontrak kerja sama program antara Direktur Utama
Badan Layanan Umum Pusat Investasi Pemerintah
pada Kementerian Keuangan dengan pemerintah
daerah dan/atau pihak lain.","Dalam melaksanakan tugas sebagaimana dimaksud dalam Pasal 129, Bidang Pengkajian Hukum Lingkungan 1
menyelenggarakan fungsi:
penyiapan bahan pengkajian dan evaluasi harmonisasi dan sinkronisasi kebijakan hukum lingkungan;
pelaksanaan koordinasi pengkajian dan evaluasi harmonisasi dan sinkronisasi kebijakan hukum
Lingkungan;
penyiapan bahan perumusan kebijakan hukum lingkungan;
pelaksanaan diseminasi hukum Lingkungan.",permen-1-2021-5.pdf,permen-9-2001-5.pdf,netral
"Penyaluran pembiayaan dengan tujuan tertentu
sebagaimana dimaksud pada ayat (1) paling sedikit
meliputi penyaluran dalam rangka pemulihan ekonomi 
dan/ atau pemulihan pasca bencana 
dan/ atau pelaku usaha terdampak kondisi kahar.","Jumlah pinjaman yang jatuh tempo pada tahun
berkenaan dianggarkan pada Kelompok Pembiayaan,
Jenis Pengeluaran Daerah, Obyek Pembayaran Pokok
Pinjaman.",permen-1-2021-5.pdf,permen-29-2002-5.pdf,netral
"Pemberian tarif layanan sampai dengan 0% (nol persen)
sebagaimana dimaksud pada ayat (1) dilaksanakan
dengan mempertimbangkan kondisi keuangan Badan
Layanan Umum Pusat Investasi Pemerintah pada
Kementerian Keuangan.","Masukan dari masyarakat atas Rancangan Peraturan
Daerah didokumentasikan dan dilampirkan pada
Peraturan Daerah tentang APBD.",permen-1-2021-5.pdf,permen-29-2002-5.pdf,netral
"Ketentuan lebih lanjut mengenai kriteria dan tata cara
penetapan tarif layanan sebagaimana dimaksud pada
ayat (1) diatur oleh Direktur Utama Badan Layanan
Umum Pusat Investasi Pemerintah pada Kementerian
Keuangan.","Hasil analisis sebagaimana dimaksud pada ayat (2),
dilaporkan kepada Menteri Koordinator untuk
mendapatkan persetujuan.",permen-1-2021-5.pdf,permen-2-2021-5.pdf,netral
"Perjanjian/kerja sama antara Badan Layanan Umum Pusat
Investasi Pemerintah pada Kementerian Keuangan dengan
pihak penggunajasa sebelum berlakunya Peraturan Menteri
ini, dinyatakan masih tetap berlaku sampai dengan
berakhirnya perjanjian/kerja sama.","Setiap bidang pemerintahan sebagaimana dimaksud
pada Ayat dilaksanakan oleh Perangkat-perangkat Daerah yang
bertindak sebagai pusat-pusat pertanggungjawaban
sesuai dengan tugas pokok dan fungsi masing-
masing.",permen-1-2021-5.pdf,permen-29-2002-5.pdf,netral
"Pada saat Peraturan Menteri ini mulai berlaku, Peraturan
Menteri Keuangan Nomor 96/PMK.05/2018 tentang Tarif
Layanan Badan layanan Umum Pusat Investasi Pemerintah
pada Kementerian Keuangan (Berita Negara Republik
Indonesia Tahun 2018 Nomor 1099), dicabut dan dinyatakan
tidak berlaku.","OIP dapat melakukan Investasi Pemerintah atas
penempatan dana dari BLU.
",permen-1-2021-5.pdf,permen-53-2020-5.pdf,netral
"Peraturan Menteri ini mulai berlaku pada tanggal
diundangkan.","Pada Perangkat Daerah yang bertanggungjawab atas
Penatausahaan Keuangan Daerah, Pemegang Kas
ditambah seorang Pembantu Pemegang Kas yang
bertugas menyiapkan SPP Gaji.",permen-1-2021-5.pdf,permen-29-2002-5.pdf,netral
"Tarif layanan Badan Layanan Umum Pusat Investasi
Pemerintah pada Kementerian Keuangan merupakan
imbalan atas jasa layanan pembiayaan ultra mikro dari
Badan Layanan Umum Pusat Investasi Pemerintah
pada Kementerian Keuangan kepada penyalur
dan/ atau lembaga linkage.","Peraturan Menteri ini mulai berlaku pada tanggal
diundangkan.",permen-1-2021-5.pdf,permen-1-2021-5.pdf,netral
"Penyalur sebagaimana dimaksud pada ayat (1)
merupakan lembaga keuangan bukan bank yang
ditunjuk dan memperoleh pembiayaan dari Badan 
Layanan Umum Pusat Investasi Pemerintah pada
Kementerian Keuangan untuk menyalurkan
pembiayaan ultra mikro melalui pembiayaan
konvensional dan/ atau pembiayaan syariah.","Pada saat Peraturan Menteri ini mulai berlaku, Peraturan
Menteri Keuangan Nomor 96/PMK.05/2018 tentang Tarif
Layanan Badan layanan Umum Pusat Investasi Pemerintah
pada Kementerian Keuangan (Berita Negara Republik
Indonesia Tahun 2018 Nomor 1099), dicabut dan dinyatakan
tidak berlaku.",permen-1-2021-5.pdf,permen-1-2021-5.pdf,netral
"Lembaga linkage sebagaimana dimaksud pada ayat (1)
merupakan lembaga keuangan bukan bank yang
menjadi mitra kerja Penyalur untuk menyalurkan
pembiayaan ultra mikro melalui pola penyaluran tidak
langsung dengan pembiayaan konvensional dan/ atau
pembiayaan syariah.","Perjanjian/kerja sama antara Badan Layanan Umum Pusat
Investasi Pemerintah pada Kementerian Keuangan dengan
pihak penggunajasa sebelum berlakunya Peraturan Menteri
ini, dinyatakan masih tetap berlaku sampai dengan
berakhirnya perjanjian/kerja sama.",permen-1-2021-5.pdf,permen-1-2021-5.pdf,netral
"Tarif layanan Badan Layanan Umum Pusat Investasi
Pemerintah pada Kementerian Keuangan terdiri atas tarif layanan 
pembiayaan ultra mikro melalui
pembiayaan konvensional dan tarif layanan pembiayaan ultra mikro melalui
pembiayaan syariah.","Pola penyaluran tidak langsung sebagaimana dimaksud
pada ayat ( 1) huruf b merupakan penyaluran
pembiayaan yang dilakukan oleh penyalur kepada
debitur melalui lembaga linkage.",permen-1-2021-5.pdf,permen-1-2021-5.pdf,netral
"Tarif layanan pembiayaan ultra mikro
pembiayaan konvensional sebagaimana
dalam Pasal 2 huruf a meliputi pola penyaluran langsung 
dan atau pola penyaluran tidak langsung.","Penyalur sebagaimana dimaksud pada ayat (2) dan
ayat (3) terdiri atas penyalur yang dimiliki oleh Pemerintah
Pusat / Pemerintah Daerah atau terafiliasi dengan
lembaga milik Pemerintah Pusat / Pemerintah
Daerah dan. penyalur selain yang dimiliki oleh Pemerintah
Pusat / Pemerintah Daerah atau terafiliasi dengan
lembaga milik Pemerintah Pusat / Pemerintah
Daerah.",permen-1-2021-5.pdf,permen-1-2021-5.pdf,netral
"Pola penyaluran langsung sebagaimana dimaksud pada
ayat ( 1) huruf a merupakan penyaluran pembiayaan
yang dilakukan oleh penyalur secara langsung kepada
debitur.","Tarif layanan pembiayaan ultra mikro melalui
pembiayaan konvensional sebagaimana dimaksud
dalam Pasal 2 huruf a merupakan tarif pembiayaan
kepada penyalur dan/ atau lembaga linkage dalam
bentuk tingkat suku bunga efektif per tahun.",permen-1-2021-5.pdf,permen-1-2021-5.pdf,netral
"Pola penyaluran tidak langsung sebagaimana dimaksud
pada ayat ( 1) huruf b merupakan penyaluran
pembiayaan yang dilakukan oleh penyalur kepada
debitur melalui lembaga linkage.","Untuk pola penyaluran tidak langsung sebagaimana
dimaksud dalam Pasal 3 ayat (1) huruf b, tarif
pembiayaan dengan tingkat suku bunga efektif per
tahun sebagaimana dimaksud pada ayat (1) dikenakan
kepada penyalur paling tinggi sebesar 2% (dua persen)
dari realisasi penyaluran pembiayaan oleh Badan
Layanan Umum Pusat Investasi Pemerintah pada
Kementerian Keuangan dan kepada lembaga linkage
paling tinggi sebesar 6% (enam persen) dari realisasi
penyaluran pembiayaan oleh penyalur.",permen-1-2021-5.pdf,permen-1-2021-5.pdf,netral
"Penyalur sebagaimana dimaksud pada ayat (2) dan
ayat (3) terdiri atas penyalur yang dimiliki oleh Pemerintah
Pusat / Pemerintah Daerah atau terafiliasi dengan
lembaga milik Pemerintah Pusat / Pemerintah
Daerah dan. penyalur selain yang dimiliki oleh Pemerintah
Pusat / Pemerintah Daerah atau terafiliasi dengan
lembaga milik Pemerintah Pusat / Pemerintah
Daerah.","Untuk pola penyaluran tidak langsung sebagaimana
dimaksud dalam Pasal 3 ayat (1) huruf b, tarif
pembiayaan dengan tingkat suku bunga efektif per
tahun sebagaimana dimaksud pada ayat (1) dikenakan
kepada penyalur paling tinggi sebesar 2% (dua persen)
dari realisasi penyaluran pembiayaan oleh Badan
Layanan Umum Pusat Investasi Pemerintah pada
Kementerian Keuangan dan kepada lembaga linkage
paling tinggi sebesar 6% (enam persen) dari realisasi
penyaluran pembiayaan oleh penyalur.",permen-1-2021-5.pdf,permen-1-2021-5.pdf,netral
"Tarif layanan pembiayaan ultra mikro melalui
pembiayaan konvensional sebagaimana dimaksud
dalam Pasal 2 huruf a merupakan tarif pembiayaan
kepada penyalur dan/ atau lembaga linkage dalam
bentuk tingkat suku bunga efektif per tahun.","Penetapan tarif layanan sebagaimana dimaksud pada
ayat (2) dan ayat (3) mempertimbangkan paling sedikit
meliputi suku bunga kepada debitur, keperluan 
pembiayaan, tata cara pencairan dana, dan/ atau
wilayah penyaluran.",permen-1-2021-5.pdf,permen-1-2021-5.pdf,netral
"Untuk pola penyaluran langsung sebagaimana
dimaksud dalam Pasal 3 ayat (1) huruf a, tarif
pembiayaan dengan tingkat suku bunga efektif per
tahun sebagaimana dimaksud pada ayat ( 1) dikenakan
kepada penyalur paling tinggi sebesar 4% (empat
persen) dari realisasi penyaluran pembiayaan oleh
Badan Layanan Umum Pusat Investasi Pemerintah
pada Kementerian Keuangan.","Ketentuan lebih lanjut mengenai besaran tarif
pembiayaan ultra mikro melalui pembiayaan
konvensional, jangka waktu pembiayaan, pengembalian
pokok pembiayaan, pembayaran bunga pembiayaan,
sanksi, peninjauan kembali pembiayaan, jaminan,
tingkat suku bunga di debitur dan/atau denda diatur
dalam perjanjian antara Badan Layanan Umum Pusat
Investasi Pemerintah pada Kementerian Keuangan
dengan penyalur.",permen-1-2021-5.pdf,permen-1-2021-5.pdf,netral
"Untuk pola penyaluran tidak langsung sebagaimana
dimaksud dalam Pasal 3 ayat (1) huruf b, tarif
pembiayaan dengan tingkat suku bunga efektif per
tahun sebagaimana dimaksud pada ayat (1) dikenakan
kepada penyalur paling tinggi sebesar 2% (dua persen)
dari realisasi penyaluran pembiayaan oleh Badan
Layanan Umum Pusat Investasi Pemerintah pada
Kementerian Keuangan dan kepada lembaga linkage
paling tinggi sebesar 6% (enam persen) dari realisasi
penyaluran pembiayaan oleh penyalur.","Penyalur sebagaimana dimaksud pada ayat (1) terdiri
atas penyalur yang dimiliki oleh Pemerintah
Pusat/Pemerintah Daerah atau terafiliasi dengan
lembaga milik Pemerintah Pusat/Pemerintah
Daerah yang menjalankan prinsip syariah dan 
penyalur selain yang dimiliki oleh Pemerintah
Pusat/Pemerintah Daerah atau terafiliasi dengan
lembaga milik Pemerintah Pusat/Pemerintah
Daerah yang menjalankan prinsip Syariah.",permen-1-2021-5.pdf,permen-1-2021-5.pdf,netral
"Penetapan tarif layanan sebagaimana dimaksud pada
ayat (2) dan ayat (3) mempertimbangkan paling sedikit
meliputi suku bunga kepada debitur, keperluan 
pembiayaan, tata cara pencairan dana, dan/ atau
wilayah penyaluran.","Badan Layanan Umum Pusat Investasi Pemerintah
pada Kementerian Keuangan dapat memberikan jasa
layanan pembiayaan ultra mikro kepada penyalur
dan/atau lembaga linkage dalam bentuk kerja sama
pendanaan dengan pemerintah daerah dan/atau pihak
lainnya.",permen-1-2021-5.pdf,permen-1-2021-5.pdf,netral
"Ketentuan lebih lanjut mengenai besaran tarif
pembiayaan ultra mikro melalui pembiayaan
konvensional, jangka waktu pembiayaan, pengembalian
pokok pembiayaan, pembayaran bunga pembiayaan,
sanksi, peninjauan kembali pembiayaan, jaminan,
tingkat suku bunga di debitur dan/atau denda diatur
dalam perjanjian antara Badan Layanan Umum Pusat
Investasi Pemerintah pada Kementerian Keuangan
dengan penyalur.","Tarif layanan pembiayaan ultra mikro kepada penyalur
dan/atau lembaga linkage dengan menggunakan kerja
sama pendanaan sebagaimana dimaksud pada ayat (1)
meliputi untuk pembiayaan konvensional dengan pola
penyaluran langsung, dikenakan tarif dalam
bentuk tingkat suku bunga efektif per tahun paling
tinggi sebesar 4% (empat persen) dari realisasi
penyaluran pembiayaan oleh Badan Layanan
Umum Pusat Investasi Pemerintah pada
Kementerian Keuangan, untuk pembiayaan konvensional dengan pola
penyaluran tidak langsung, dikenakan tarif dalam
bentuk tingkat suku bunga efektif per tahun paling
tinggi sebesar 2% (dua persen) dari realisasi
penyaluran pembiayaan oleh Badan Layanan
Umum Pusat Investasi Pemerintah pada 
Kementerian Keuangan dan paling tinggi se besar
6% (enam persen) kepada lembaga linkage dari
realisasi penyaluran pembiayaan oleh penyalur 
dan untuk pembiayaan syariah, dengan pola
penyaluran langsung dan tidak langsung kepada
penyalur dan/ atau lembaga linkage sesuai dengan
prinsip syariah dalam bentuk imbal hasil paling
tinggi setara dengan tarif pembiayaan
konvensional sesuai dengan kesepakatan antara
Badan Layanan Umum Pusat Investasi Pemerintah
pada Kementerian Keuangan dan penyalur.",permen-1-2021-5.pdf,permen-1-2021-5.pdf,netral
"Tarif layanan pembiayaan ultra mikro melalui
pembiayaan syariah sebagaimana dimaksud dalam
Pasal 2 huruf b merupakan tarif pembiayaan kepada
penyalur dan/ atau lembaga linkage dalam bentuk
imbal hasil sesuai dengan prinsip syariah.","Ketentuan lebih lanjut mengenai besaran tarif
pembiayaan ultra mikro melalui pembiayaan syariah,
jangka waktu pembiayaan, pengembalian pokok 
pembiayaan, pembayaran bagi hasil pembiayaan,
sanksi, peninjauan kembali pembiayaan, jaminan,
tingkat margin di debitur, dan/atau denda diatur dalam
perjanjian antara Badan Layanan Umum Pusat
Investasi Pemerintah pada Kementerian Keuangan
dengan penyalur.",permen-1-2021-5.pdf,permen-1-2021-5.pdf,netral
