ulasan,apresiasi,kritik
tolong di update lagi agar hasil test bisa simpan otomatis dalam aplikasi agar waktu bisa didownload kembali waktu tadi hendak akan di download jaring server hp masalah kemudian di closed pas masuk aplikasi clm hasil testnya sudah tidak ada padahal tadi ingin saya simpan pas mau ikut test kembali malah tidak bs dan suruh tunggu sampai tanggal 23,0,1
aplikasi nya bagus tp tindak atas lapor jelek banget berkali2 lapor parkir liar d bahu jalan follow up nya cm poto d sisi jalan yg g ada parkir biar lihat udah bersih sedang sisi lain mas ada yg parkir liar upload foto ganti dengan video biar lbh real hasil follow up nya,1,1
betul banyak info yang bagus di aplikasi ini tp tiap mau daftar vaksin kuota selalu penuh tiap jam di cobain terus tetep kuota penuh terus ga tega kasih bintang satu jadi bintang 4 aja dengan harap ada ubah dan kembang dalam aplikasi ini terimakasih banyak,1,1
saya tidak erti apa yang jadi bagai indeks parameter dari aplikasi ini saya sudah isi data yang benar dan jujur dan sama sekali tidak tunjuk bahwa saya dampak covid atau alami gejala covid bahkan saya tidak pernah kontak dengan odp pdp dan pergi tapi mengapa saya nilai bagai resiko rendah dengan angka 38 dan nyata untuk tes pcr bukankah jika resiko rendah itu arti harus saya bisa dapat sikm tlg jelas,0,1
ini aplikasi apa si minta2 verifikasi ktp muka makin kesini makin heran aplikasi minta2 indentitas,0,1
saya mau vaksin yang ke 3 tp jadi salah trs harus log in padahal nik ktp sudah verifikasi cek status vaksin juga ga bisa buka udah brp x d uninstall dulu trs d install lagi tp ttp ga bisa d buka aneh ini aplikasi bukan nya bantu malah sulit,0,1
saya sudah vaksin di situs peduli lindung sudah update namun di situs dan app jaki malah belum update tanya via java dan dapat solusi lapor kendala lalu tombol link yang di sedia namun tombol link sebut sama sekali tidak bisa guna dengan status forbidden untuk di telusur lalu saya harus lapor mana lagi tidak ada fitur bantu dan email jaki pun tidak ada respon lebih baik uninstall saja tidak guna,0,1
min tolongin sya masa tadi pagi gw bisa masuk buat daftar vaksin 2 udah ngikutin langkah nya sesuai perintah tapi tiba balik ke menu login trus ngga bisa login lagi coba lagi malah nama tdk sesuai nik sampe bosen nyoba gimana solusi bales min,0,1
tolong tingkat untuk akurasi gps nya masa saya 2 kali lapor tapi pointer gps nya jadi di jalan lain padahal gps saya aktif bikin jadi kesalahpahaman kalo begini cerita lama lama sama 1 lagi tolong tambah fitur buat hapus atau edit lapor ketika salah input biar ga jadi salah paham apabila ada salah input pada kita guna,0,1
guna android versi 7 1 tidak dapat isi form pilih domisili dan hubung unduh dengan milik bangun untuk unduh e-sppt pbb mohon tinjau kembali harus aplikasi milik pemda dapat kompatibel dengan android versi 6 7 8 9 dan yang lebih tinggi,0,1
terimakasih kasih jaki saya dan keluarga sangat bantu dengan aplikasi ini layan cari vaksin sangat mudah akurat dan susun dengan rapih rencana good design and best target for user matursuwunn jaki,1,0
tanggulang lapor parkir di jalan umum kampung kurang tegas karena hanya himbauan tidak dengan cara tilang derek sekali karena masih jadi parkir jalan sebut kemudian mohon untuk tambah lagi 1 beberapa slot foto pada lapor jgn hanya 1 slot foto saja karena bisa jadi beberapa masalah dalam 1 area atau bisa pakai vidio 2 belum tanggulang di cek acc oleh lapor jgn tutup dlu karena bisa jadi tanggulang belum selesai 100 mohon feedback baik,0,1
sinkronisasi data yang bner dong masa liat di data kuota di tempat vaksinasi masih sedia tapi waktu mau daftar di tempat vaksinasi sebut malah data tidak temu masih banyak yg perlu di baik data pasti banyak tapi tidak dengan sinkronisasi data yang benar dan tidak asal tentu tidak akan ada masalah di website pun sama saja,0,1
mau kasih bintang satu aja kayak nya masih rugi betul nya ini aplikasi guna buat apa sih mudah sulit masa mau daftar vaksinasi aja sulit nya minta ampun saya coba di jakarta utara terang semua penuh saya coba di jakarta timur semua penuh juga trus ini guna aplikasi apa dong tidak sesuai dengan ekspetasi jujur nyesal banget download nya,0,1
sangat tidak manfaat dan tidak untung tuk semua yang guna apk ini daftar skrg dan dapat jadwal 2 hr telah nya karna itu udah otomatis gak bisa putus sendiri sampa hari h kalah sama urut yg gak pakai apk hanya dngn sampai dluan dan bsa daftar di tempat hari itu juga luar biasaaaa tanya nya jadi untuk apa apk ini hah,0,1
saya download aplikasi jaki untuk perlu vaksinasi vaksin pertama jalan dengan lancar untuk vaksin dua saya kira sudah tinggal datang ke lokasi vaksinasi yang sedia nyata kita harus daftar ulang dari aplikasi ini lagi masalah nya adalah saat saya daftar ulang tidak ada satu lurah se-jakarta yang milik kuota untuk vaksinasi saya pilih semua lurah dan semua kuota sudah penuh padahal di lokasi masih bisa mohon segera ditindaklanjuti terima kasih,0,1
nggak ada gejala sakit nggak pernah kontak dng pdp odp suhu normal 36 2 baru dua hari kemarin rapid test non reaktif kok hasil tidak aman apa yang jadi dasar nilai skor ratingnya langsung jeblog tuh pada komplain dasar nilai skor nggak pernah direspond,0,1
daftar vaksin sini simple tp pas di lokasi vaksin ada salah input nomer telepon jd sampai sekarang belum bisa dapat sertifikat di aplikasi pedulilindung pun sudah masuk data sudah vaksin tapi certifikat tidak ada bagaimana harus mana minta sertifikat,1,1
aplikasi g jelas suhu normal pdhal sehat semua tdk ada kontak tdk pernah keluar2 tp d nyata tdk aman tanpa ada jelas jd tuju aplikasi ini apa untuk mudah atau malah tahan org keluar masuk jakarta,0,1
lohaaa min jaki kok telah d update tidak bisa akses k peduli lindung ya utama tidak bisa scan qr jika ingin akses masuk k suatu tempat scan qr yg di atas hanya bisa terang cek in kode tidak ada gambar scan hasil tolong d baik ya mimin yg baik hati terimakasih,0,1
apps nya bagus untuk daftar vaksin booster untuk yg daftar vaksin lebih utama jika guna jaki krn sesuai dgn jadwal free kita cukup isi profil kalau untuk validitas data tunggu 2 hari lalu cari menu vaksinasi lalu isi nik nama alamat dan no tlp lalu pilih puskes rs pilih tgl tanggal telah selesai lanjut isi pre-screening telah selesai cetak hasil td saya vaksin dos 3 hanya 10 menit sudah selesai dan langsung integrasi app peduli lindung,1,0
payah payah payaaahhhh sudah daftar sudah login sudah input nik no hp sudah keluar sertifikat vaksin nya tapi begitu mau di lihat gak ada menu untuk itu masa harus input data lagi hadehh,0,1
server nya kurang bagus aplikasi ngelag kurang responsif lama loading awal saja cepat padahal buka aplikasi lain lancar kuota masih banyak,0,1
pas liat komentar hasil pada 3x xx pas nyoba sendiri eh skor cuman 28 50 padahal pergi jauh ngga pernah ketemu pasien bahkan ngga pernah kok bisa skor cuman segitu hadehh bukan bikin mudah malah bikin susah kasi yang keburu ada butuh malah hasil kaya gin,0,1
payahh lo bikin aplikasi terang kuota vaksinasi dua selalu penuh padahal di dashboard kuota vaksin untuk second dose masih sedia telp ke 119 bantu dgn mb sasha info kata masih kembang jd kuota memang sudah penuh tp delay lihat di aplikasi jaki ah payah lah klo aplikasi perintah yg buat,0,1
udah daftar buat tanggal 15 juli bsok barusan mau di cek di aplikasi lagi malah daftar ulang lagi tolong lah pada yang sedia aplikasi di baik sistem nya jangan hal rupa kembali jadi lagi terima kasih,0,1
sangat bantu banyak fitur dan informasi yang manfaat sekali bisa lapor ganggu lingkung via aplikasi dan direspon serta tangan dengan cepat terima kasih,1,0
saya nyoba apk ini buat nyoba daftar vaksin ke 2 pas login daftar la kok kata nama yang masuk ngga sesuai sama nik yang daftar la mksudnya apa orang itu udah sesuai bgt ibu kali saya liat takut ada angka yang salah tapi ngga tuh trs gimana ini mksudnya ya min,0,1
mantaf aplikasi buat lapor layan masyarakat cepat tanggap tugas trimaksih sangat manfaat depan buat lebih lengkap sempurna lagi klo bisa ada chatnya antar lurah,1,1
appsnya bagus dan mudah guna betul lumayan butuh fitur kaya jakpangan nice moga tambah improve lagi,1,0
hai jaki saya lihat di aplikasi jaki ada fitur cek pajak kendara motor pkb itu bagus benar tapi kok bisa bebas akses data pkb siapa sih asal kita tahu nopol nya begini di situs samsat-pkb2 jakarta go id saja kalau mau cek harus input nik dahulu tapi di jaki tidak pakai nik sehingga siapa bisa lihat info pkb kita apa itu tidak apa ya,1,0
sangat tidak bantu dan tidak jawab keluh apa guna aplikasi kalo gitu saya mau daftar untuk vaksin dua mau cek data saya di jaki tidak update sama sekali padahal di aplikasi peduli lindung sudah ada data saya terupdate gimana sih gak guna dong kalo gitu saya install aplikasi ini,0,1
kok tambah ngawur daftar vaksin booster lokasi faskes sudah pilih pas masukin tgl malah suruh pilih faskes lagi tgl nya malah ga mau muncul aduh kita mau daftar vaksin booster aja sulit mesti pake aplikasi jaki daftar da download malah ga bisa daftar,0,1
telah di update tidak dapat cek pajak kendara motor roda dua catat sudah fix masalah ada pada jaring internet handphone terimakasih tim developer sudah buat aplikasi manfaat ini,1,1
saya mau daftar kerja dengan syarat scan test clm namun ketika di download tidak bisa dan dan keburu hilang itu gimana cara min biar kita bisa lihat data kita kembali karena lagi sangat butuh sekali stelah laku ulang harus mnunggu yg lama jdi gmna cara lihat data yang awal terima kasih,0,1
aplikasi ini sangat baik dan responya juga cepat terus tahan yang sudah baik tingkat yang masih kurang perlu di tingkat terima kasih pemprov dki sudah buat aplikasi ini sangat manfaat,0,1
saya download ini untukdaftar vaksin pertama di sini selang saya daftar dapet notifikasi untuk me restart hp udah saya lakuin ada kali sampe 5 kali tapi blm ada konfirmasi kena status jadwal vaksin saya tapi notifikasi untuk restart terus muncul aneh,0,1
aplikasi kenapa gk jelas hasil harus tidak ada masalah tapi kok hasil 38 5 dan tidak aman padahal uda tes hasil rapid negatif dan untuk isi form ulang harus 7 hari lagi terus kalo hasil tidak aman lagi harus nunggu 7 hari lagi tolong dong baik sistem gak sehat ini aplikasi rugi sekali,0,1
clm g jelas indikator sangat g guna aplikasi ini apalagi mau guna buat indikator giat masyarakat tidak dasar sama sekali cuma buat gaya2an clm saja tanpa parameter yg pasti yg tidak pergi kemana2 saja tidak aman ngaco betul aplikasi ini hanya buat cari muka dan bikin berita saja sekali lockdown dan semua biaya hidup tanggung pemprov,0,1
asli ini aplikasi lengkap banget kita bisa dapetin info paling ter-update sekaligus tentang ibukota jakarta dan kita bisa bantu report perihal masalah yg sekira nya ganggu nyaman sama dan langsung di proses lebih lanjut ke team kait,1,0
mohon solusi untuk isi tes di bagi combo box gak bisa klik sehingga tidak bisa selesai testnya padahal android ku 5 1 1 dan internet ku stabil banget tp masih blm bisa pake aplikasi ini mohon solusi,0,1
kenapa aplikasi sering alami ganggu ya saya sudah coba kali untuk bisa daftar esppt pbb di jaki dengan ikut langkah dan isi datadengan baikdan benar tetapi selalu yang keluar seperti maaf jadi salah sila coba beberapa saat lagi data tidak temu nik unduh jadi salah bagaimana solusi ya sudah 2 hari saya coba kali masuk data dengan benar tetapi selalu ada masalah mohon bantu ya dan segera ya,0,1
kenapa hasil tidak aman padahal saya sudah isi sesuai dan jujur tidak ada riwayat pergi lama 14 tidak ada gejala covid 19 dan score kenapa 38 tidak aman mohon di baik kembali aplikasi ngaco ini,0,1
kaka aku bingung sma aplikasi ini gk sesuai padahal aku sdh coba ulang kali untk isi aplikasi ini dengan benar sya pencet aplikasi ini sesuai tpi tidak ada hasil cuma buang buang pulsa tolong donk ka di baik aplikasi ini ini untk lancar data sekolah,0,1
aplikasi yang sulit minta isi survey puas masyarakat tp untuk log in saja sulit sekali server sibuk sekali hasil log in kata survey belum sedia bagaimana dapat beri puas masyarakat kalau survey yg buat saja masih sulit mohon kesiap dr software kuat dulu jika akan dilaunch ke masyarakat,0,1
di aplikasi tidak bisa dan tidak ada tombol untuk unduh file hasil pre screening tolong di baik solusi gimana syarat vaksin harus ada print pre screening,0,1
alhamdulillah vaksin dosis 1 saya sudah hasil ada sertifikat vaksin proses cepat dan juga daftar lewat aplikasi jaki mudah dan proses cepat yang penting nik ktp dan nomor telepon yg benar supaya proses cepat apabila ada keluh pun cepat di tanggap terima kasih aplikasi jaki pokok tahan kualitas aplikasi jaki is the best,1,0
saya sudah coba hasil 15 5 karena saya jarang kontak dengan orang atau ke tempat umum yg d maksd d dalam tanya test jadi untuk yg dapat kan 38 atau lebih itu kan jawab kita jujur ya kita pernah kontak atau pergi atau tidak jadi klw d atas 38 ya karena kita lebih sering atau pernah pergi ke tempat umum yg resiko tular atau tular,1,0
saya minta verifikasi sampe 3 kali gagal terus padahal nomor ktp nama dan foto sudah sesuai mana verifikasi sekali 2x24 jam udah 3 hari saya coba tiap daftar langsung no ktp dan nama lengkap selalu capcha not valid dan aplikasi sering error,0,1
untuk hasil tes nya mohon bisa di simpan klo hasil tes tidak sempat di screenshoot sy tidak bisa ikutin tes ulang lagi hari itu jg tunggu 14 hari kedap sempat sulit kirim lapor seko pas screnshot hasil gagal mohon respon nya terima kasih,0,1
aplikasi yang buat orang kesal sudah tes clm hasil nge hang lama banget lalu app nutup sendiri belum keluar qr begitu mao ulang tunggu minggu padahal sudah mao berangkat pesawat jangan ngerepotin deh,0,1
download ini karena website pajakonline untuk download sppt pbb lambat verifikasi akhir arah sama call center untuk download jaki alhamdulillah langsung hasil ga ribet ga lama bahkan ga sampe 2 menit buat log in dan isi data untuk pbb abis itu tinggal download bisa buat cek biaya pajak kendara juga bisa buat lapor2 dan informasi lain kait jakarta terima kasih sudah sedia aplikasi yg sangat guna ini maju terus jakarta,1,0
untuk atas masalah di jakarta aplikasi ini bisa andal meski masih ada sedikit kurang di beberapa fitur but overall this is a very useful app keep up the good work,1,0
udh ngisi data pada tgl 6terus loading sekitar tengah jam tiba tiba kembali ke menu utama malah bisa ngisi data lagi pada tanggal 13 sedang pesawat saya terbang tanggal 9 ini mohon info sampai jakarta apakah tidak apa apa tanpa jaki ini,0,1
ko gk bisa di pake buat daftar vaksinasi ada terang maaf tanggal tidak sedia silah ganti faskes atau lokasi udah di ganti masih aja gk bisa di semua tempat gk guna banget buat daftar vaksinasi mohon di baik bug nya,0,1
aplikasi tolong di benerin lagi dong daftar mau vaksin di pilih faskes ga bisa tgl ga bisa jam juga ga bisa coba langsung ke tempat faskes juga ga bisa suruh daftar lewat jaki tapi tetep aja muter-muter ga jelas nih aplikasi malah jadi bingung,0,1
kmarin isi data padahal suhu badan 36 5 ngk pernah kontak langsung sama odp apalagi pasien yg bener positif covid tp di situ tulis tidak aman sebenernya batas suhu badan yang di boleh itu berapa sih sedang di tiap sk yg di buat perintah itu tera 37 3 u suhu badan dan ini lagi pas harus daftar kembali malah sistem nya masalah nh saya urgent untuk bisa pergi karena orng tua sakit tp kaya nya di sulit banget cuma karena clm ini jadi susah mau pergi jg,0,1
udah daftar vaksin lewat aplikasi jaki udh dapet tanggal waktu dan tempat pas dateng ke lokasi vaksin dengan tunjuk kartu vaksin dri jaki malah tolak dengan alesan nomor daftar sudah habis buat apa fungsi daftar lwt jaki kalo pas dateng ke lokasi mereka punya nomor daftar sendiri,0,1
saat ini lurah milik survey yg harus sy laku lalu app ini tp kok gak survey tsb di hp sy gak pernah ada tolong di cek masalah kenapa surveynya di hp sy tdk tampil di hp honor 10 lite segera di tindak lanjut ya,0,1
aplikasi ini benar buat untuk tuju baik sayang telah saya isi sesuai kondisi yg saya alami yaitu suhu tubuh normal 36 dan tidak pernah kontak dengan pasien odp atau pdp tidak ada keluh sehat tapi hasil tidak aman dengan skor 38 5 kan aneh atau aplikasi ini hanya guna untuk kumpul data diri kita akan sangat sayang jika aplikasi ini hanya akan jadi sampah jika tidak benar benar baik utama hasil yg telah kita isi sesuai yg kita alami,1,1
clm aneh parameter ngaco atas dasar apa coba masa hasil survei cuma 38 5 yang arti tidak boleh laku jalan ke wilayah jakarta padahal lama 5 bulan terkhir ini belum pernah laku jalan ke daerah zona merah kerja dari rumah interaksi dengan pdp odp belum pernah karena banyak aktivitas rumah saja apa hanya dasar no ktp terus anggap tidak aman terus ngapain harus ribet ribet isi survei kalau hasil semua tidak aman,0,1
ko ngk bs di klik sih jenis kelamin dll tolong dong for developer di benerin dong ui appsnya udah bgs jaring gue stabil saya sdh coba kali tp ngk bs tolong di baik cepat,1,1
tanggal 18 saya sudah vaksin tetapi di aplikasi jaki tera justru belum vaksin dan masih jadwal noted sedang di proses data pedulilindungi tanggal 20 sudah terupdate di aplikasi hanya via sms saja yg belum hehe moga makin baik dan makin manfaat ke depan ammiinn,1,1
hai admin kok aplikasi jaki saya tidak bisa untuk sklm yaa di jaksurvei ada minta untuk login tapi ga ada kolom login nya dan harus sinkron ke google padahal sebelum2nya bisa guna tanpa kendala,0,1
tolong tingkat kembali aplikasi agar guna mudah dalam guna aplikasi tsb tampil ui nya juga sudah bagus untuk tampil di layar,1,1
kali coba untuk mendownload sppt pbb 2021 tp selalu error padahal semua daftar isi yg dinput sudah benar masuk ke chat room untuk jelas kendala tp tidak ada respon heloooo,0,1
di dalam notifikasi tidak sedia fitur tanda semua sehingga ada titik merah di ikon notifikasi yang sangat ganggu baik pemberitahuan sebar di halaman beranda bukan di dalam notifikasi,0,1
dear all tolong kondisi aplikasi ya lain kali jangan jadi aplikasi burik gajelas gaguna ini daftar faksin aja gagal terus salah di aplikasi saya sudah daftar dan ingin download pdf presceaning nya gabisa tolong jum at 13 agustus 2021,0,1
jaki saat ini jln makin bersih taman rapi atur fasilitas transfortasi ada jaklingko bus way sarana main olah raga cukup banyak layan administrasi dukcapil satu pintu makin mudah cepat,1,0
sudah divaksin1 tapi sertifikat yg kata tugas kirim lalu nomor hp daftar belum kirim sampai saat ini buka aplikasi jaki daftar ulang bisa dan status masih belum vaksin sidah harus data hubung bilamana sdh vaksin di aplikasi jaki sudah harus ada data sebut jadi tidak ganda perintah buat aplikasi takjelas nanti akhir data jual belikan pula mohon tinjau aplikasi ini saran saya terima kasih,0,1
tolong tolong di update donk untuk daftar vaksinasi di jaki banyak orang yang benar gaptek soal handphone utama orang tua ketika mau daftarin saudara vaksinasi pertama lewat jaki ulasana nya kuota penuh tapi ketika klik di lihat kuota sisa kuota masih banyak tapi gak bisa daftar kenapa susah banget ya kalo daftar vaksin lewat jaki tolong di update donk,0,1
kenapa ya tiap kali mau cek jadwal vaksinasi ke 2 pasti selalu error uda login ulang jg masih kaya gitu via web juga begitu error pilih daftar vaksinasi ga bisa di klik,0,1
maaf saya kok gk bisa yaa tuk scan barcode di aplikasi jaki telah di baru alas nya data tidak sesuai padahal tuk aplikasi pedulilindungi n daftar vaskin lewat jaki lancar2 aja pake data saya kenapa pas mau scan barcode malah tidak bisa dengan alas data tidak sesuai n mohon lengkap data belum masuk lokasi mohon bantu ya terimakasih,0,1
turut saya app nya oke lapor mati listrik blm lama sekitar 15 menit langsung nyala ya walaupun memang masih ada yg perlu d baik jgn jdikan app ini alat konprontasi politik lah,1,0
