peraturan,sumber
"Dalam melaksanakan tugas sebagaimana dimaksud dalam Pasal 9, Biro Umum menyelenggarakan fungsi:
pembinaan dan pelayanan administrasi kepegawaian;
pengelolaan administrasi umum, dokumentasi, dan perpustakaan;
pengelolaan administrasi keuangan;
pengelolaan urusan rumah tangga.",Peraturan Menteri Nomor 9 Tahun 2001
"Keuangan Daerah adalah semua hak dan kewajiban
Daerah dalam rangka penyelenggaraan pemerintahan
Daerah yang dapat dinilai dengan uang, termasuk di
dalamnya segala bentuk kekayaan yang berhubungan
dengan hak dan kewajiban Daerah tersebut, dalam
kerangka Anggaran Pendapatan dan Belanja Daerah.",Peraturan Menteri Nomor 29 Tahun 2002
"Dalam hal tidak terdapat standar akuntansi keuangan sebagaimana dimaksud pada ayat (49), Badan Investasi Pemerintah dapat menerapkan standar akuntansi keuangan yang spesifik setelah mendapat persetujuan Menteri Keuangan.",Peraturan Pemerintah Nomor 1 Tahun 2008
Hasil likuidasi atas semua aset sebagaimana dimaksud pada ayat (1) diserahkan kembali oleh tim kepada Pegawai Negeri Sipil,Peraturan Pemerintah Nomor 25 Tahun 2020
Kebijakan akuntansi dan sistem akuntansi pengelolaan Keuangan Haji sebagaimana dimaksud pada ayat (3) disusun sesuai dengan standar akuntansi keuangan.,Peraturan Pemerintah Nomor 5 Tahun 2018
Investasi pemerintah sebagaimana dimaksud pada ayat (1) bertujuan untuk meningkatkan pertumbuhan ekonomi dalam rangka memajukan kesejahteraan umum.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Pembiayaan adalah transaksi keuangan daerah yang
dimaksudkan untuk menutup selisih antara
Pendapatan Daerah dan Belanja Daerah.",Peraturan Menteri Nomor 29 Tahun 2002
"Bidang Ekosistem Pesisir membawahkan:
Subbidang Pemanfaatan Ekosistem Pesisir;
Subbidang Pelestarian Ekosistem Pesisir.",Peraturan Menteri Nomor 9 Tahun 2001
"Penggunaan laba bersih sebagaimana tercantum dalam perhitungan laba rugi yang telah disahkan menurut ketentuan Pasal 29 Peraturan Pemerintah ini, yakni laba Perusahaan yang telah dikurangi pajak yang terhutang berdasarkan peraturan perundang-undangan yang berlaku; setelah terlebih dahulu dikurangi dengan cadangan tujuan sebesar 5% (lima persen), ditetapkan sebagai berikut:",Peraturan Pemerintah Nomor 18 Tahun 1983
"Dana Depresiasi adalah dana yang disisihkan untuk
penggantian aset pada akhir masa umur
ekonomisnya.",Peraturan Menteri Nomor 29 Tahun 2002
Pemberian Kemudahan adalah penyediaan fasilitas nonfisikal dari Pemerintah Daerah kepada Masyarakat dan/atau Investor untuk mempermudah setiap kegiatan investasi dan untuk meningkatkan investasi di daerah.,Peraturan Pemerintah Nomor 24 Tahun 2019
"Bagian Kerjasama Multilateral mempunyai tugas melaksanakan administrasi kerjasama multilateral meliputi
lembaga Perserikatan Bangsa-Bangsa (Lembaga PBB), lembaga non Perserikatan Bangsa-Bangsa (Lembaga
Non-PBB), dan lembaga regional serta bantuan luar negeri di bidang lingkungan hidup.",Peraturan Menteri Nomor 9 Tahun 2001
"Dalam hal Peserta Pekerja pindah tempat kerja, Peserta Pekerja harus memberitahukan kepesertaannya dalam program Tapera kepada Pemberi Kerja baru dengan menunjukkan nomor identitas kepesertaan.",Peraturan Pemerintah Nomor 25 Tahun 2020
"Bagian Perencanaan membawahkan:
Subbagian Penyusunan Program;
Subbagian Evaluasi Program.",Peraturan Menteri Nomor 9 Tahun 2001
"Anggota Direksi tidak boleh berdagang atau mempunyai
kepentingan pada usaha dagang yang manapun juga.",Peraturan Pemerintah Pengganti Undang-Undang Nomor 21 Tahun 1960
"Rahasia adalah klasifikasi informasi dari Arsip yang apabila
diketahui oleh pihak yang tidak berhak dapat
mengakibatkan terganggunya fungsi penyelenggaraan
negara, sumber daya nasional dan/atau ketertiban umum.",Peraturan Menteri Nomor 1 Tahun 2022
"Belanja Daerah sebagaimana dimaksud pada Ayat
meliputi semua pengeluaran yang merupakan
kewajiban Daerah dalam satu Tahun Anggaran yang
akan menjadi pengeluaran Kas Daerah.",Peraturan Menteri Nomor 29 Tahun 2002
"Pengisian Dana Deprisiasi sebagaimana dimaksud
dalam Pasal 13 Ayat
(2) setiap tahun dianggarkan dalam Kelompok
Pembiayaan, Jenis Pengeluaran Daerah, Obyek
Transfer ke Dana Deprisiasi.",Peraturan Menteri Nomor 29 Tahun 2002
"Tahapan pemantauan dan evaluasi Kerja Sama dilakukan
oleh Pemrakarsa bersama dengan Biro Hukum dan Unit
Kerja terkait di lingkup Kementerian.",Peraturan Menteri Nomor 2 Tahun 2021
"Masing-masing bagian belanja sebagaimana
dimaksud pada Ayat
(4) dirinci menurut Kelompok Belanja yang meliputi
Belanja Administrasi Umum, Belanja Operasi dan
Pemeliharaan serta Belanja Modal.",Peraturan Menteri Nomor 29 Tahun 2002
"Bank dan Pihak Terafiliasi wajib merahasiakan keterangan
mengenai Nasabah Penyimpan dan Simpanannya serta Nasabah
Investor dan Investasinya.",Undang-Undang Nomor 21 Tahun 2008
Penempatan dana efisiensi Penyelenggaraan Ibadah Haji ke Kas Haji sebagaimana dimaksud pada ayat (2) dilakukan paling lambat 1 (satu) bulan setelah laporan hasil audit oleh Badan Pemeriksa Keuangan diterima.,Peraturan Pemerintah Nomor 5 Tahun 2018
Sumber dana investasi dapat berasal dari: a. Anggaran Pendapatan dan Belanja Negara; b. keuntungan investasi terdahulu; c. dana/barang amanat pihak lain yang dikelola pemerintah; dan/atau d. sumber-sumber lainnya yang sah.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Subbagian Persuratan mempunyai tugas melakukan urusan umum, penyiapan surat menyurat,
penggandaan, pencelakan, dan kearsipan.",Peraturan Menteri Nomor 9 Tahun 2001
Laporan sebagaimana dimaksud pada ayat (56) disampaikan kepada Menteri Keuangan.,Peraturan Pemerintah Nomor 1 Tahun 2008
"Sekretariat sebagaimana dimaksud pada ayat (1)
mempunyai tugas memberikan dukungan subtantif,
teknis, dan administratif kepada Tim Pelaksana.",Peraturan Presiden Nomor 20 Tahun 2020
"Ruang lingkup yang akan dikerjasamakan oleh Kementerian
Koordinator mempertimbangkan tugas dan fungsi serta
mendukung indikator kinerja utama di Bidang Kemaritiman
dan Investasi.",Peraturan Menteri Nomor 2 Tahun 2021
Pemupukan pada instrumen investasi dalam bentuk deposito perbankan dan deposito perbankan syariah harus memperhatikan kondisi keuangan Bank.,Peraturan Pemerintah Nomor 8 Tahun 2007
Komite investasi KIK sebagaimana dimaksud pada ayat (1) sesuai dengan ketentuan peraturan perundang-undangan.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Pejabat Pimpinan Tinggi Madya sebagaimana dimaksud
pada ayat (1) huruf b berwenang mengakses seluruh Arsip
di bawah kewenangannya dan diberikan akses untuk
informasi yang terdapat pada level tertinggi dengan izin
pimpinan tingkat tertinggi.",Peraturan Menteri Nomor 1 Tahun 2022
Menteri Teknis/Pimpinan Lembaga adalah pimpinan kementerian/lembaga yang ruang lingkup tugas dan tanggung jawabnya meliputi bidang infrastruktur dan bidang lainnya yang diatur dalam Peraturan Pemerintah ini.,Peraturan Pemerintah Nomor 1 Tahun 2008
"Dalam melaksanakan tugas dan fungsinya, Tim
Pelaksana sebagaimana dimaksud dalam Pasal 9
didukung oleh Sekretariat.",Peraturan Presiden Nomor 20 Tahun 2020
"Subbidang Investasi Ramah Lingkungan mempunyai tugas melakukan penyiapan bahan koordinasi,
telaahan staf, pengkajian dan evaluasi, serta penyusunan rancangan rumusan kebijakan di bidang
investasi ramah Lingkungan.",Peraturan Menteri Nomor 9 Tahun 2001
"Ketentuan lebih lanjut mengenai tata cara pembentukan,
keanggotaan, dan tugas komite perbankan syariah
sebagaimana dimaksud pada ayat (4) diatur dengan
Peraturan Bank Indonesia.",Undang-Undang Nomor 21 Tahun 2008
"Dana Keistimewaan Daerah Istimewa Yogyakarta
sebagaimana dimaksud dalam Pasal 9 ayat (2) huruf c
sebesar Rp547.450.000.000,00 (lima ratus empat puluh
tujuh miliar empat ratus lima puluh juta rupiah).",Undang-Undang Nomor 27 Tahun 2014
"Bidang Kawasan Budidaya mempunyai tugas melaksanakan koordinasi telaah staf, pengkajian dan evaluasi,
serta penyusunan rancangan rumusan kebijakan mengenai pengelolaan lingkungan kawasan budidaya.",Peraturan Menteri Nomor 9 Tahun 2001
Besaran kebutuhan sebagaimana dimaksud pada ayat (1) ditetapkan dengan Keputusan Menteri.,Peraturan Pemerintah Nomor 5 Tahun 2018
"DBH sebagaimana dimaksud pada ayat (1) huruf a
direncanakan sebesar Rp127.692.520.852.000,00 (seratus
dua puluh tujuh triliun enam ratus sembilan puluh dua
miliar lima ratus dua puluh juta delapan ratus lima puluh
dua ribu rupiah).",Undang-Undang Nomor 27 Tahun 2014
"Peraturan Daerah sebagaimana dimaksud pada Ayat
(5) menetapkan tujuan, besaran, dan sumber Dana
Cadangan serta jenis program/kegiatan yang dibiayai
dari Dana Cadangan tersebut.",Peraturan Menteri Nomor 29 Tahun 2002
Penyelenggaraan kewenangan operasional pengelolaan Investasi Pemerintah oleh Badan Investasi Pemerintah berbentuk badan hukum sebagaimana dimaksud pada ayat (2) dilaksanakan sesuai dengan peraturan perundang-undangan.,Peraturan Pemerintah Nomor 1 Tahun 2008
"Anggaran untuk subsidi sebagaimana dimaksud pada ayat
(1) dapat disesuaikan dengan kebutuhan realisasi pada
tahun anggaran berjalan berdasarkan perubahan
parameter dan/atau realisasi harga minyak mentah (ICP)
dan nilai tukar rupiah.",Undang-Undang Nomor 27 Tahun 2014
"Bank Pembangunan Indonesia adalah badan hukum yang berhak
melakukan tugas-tugas berdasarkan Peraturan Pemerintah
Pengganti Undang-undang ini.",Peraturan Pemerintah Pengganti Undang-Undang Nomor 21 Tahun 1960
Cara penilaian pos dalam perhitungan tahunan harus disebutkan.,Peraturan Pemerintah Nomor 18 Tahun 1983
"Klasifikasi Keamanan Arsip Dinamis pada tingkat Terbatas
sebagaimana dimaksud dalam Pasal 3 huruf b didasarkan
pertimbangan apabila diketahui oleh Publik yang tidak
berhak dapat mengakibatkan terganggunya pelaksanaan
tugas dan fungsi satuan organisasi.",Peraturan Menteri Nomor 1 Tahun 2022
"BMN yang dihasilkan dari belanja modal pada DIPA
Kementerian Negara/Lembaga yang akan dipergunakan
oleh BUMN sejak pengadaan BMN dimaksud, ditetapkan
menjadi PMN pada BUMN yang menggunakan BMN
tersebut.",Undang-Undang Nomor 27 Tahun 2014
Simpanan adalah sejumlah uang yang dibayar secara periodik oleh Peserta dan/atau Pemberi Kerja.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Deputi I adalah unsur pelaksana sebagian tugas dan fungsi Meneg-LH yang berada di bawah dan bertanggung
jawab kepada Meneg-LH.",Peraturan Menteri Nomor 9 Tahun 2001
Perusahaan memperoleh pendapatan dari jasa pengerukan sebagaimana tersebut pada Pasal 6 Peraturan Pemerintah ini.,Peraturan Pemerintah Nomor 18 Tahun 1983
"Tim Pelaksana sebagaimana dimaksud dalam Pasal 3
huruf b mempunyai tugas menyelenggarakan kebijakan
percepatan pembangunan kesejahteraan di Provinsi
Papua dan Provinsi Papua Barat untuk mewujudkan
masyarakat Provinsi Papua dan Provinsi Papua Barat yang
maju, sejahtera, damai, dan bermartabat.",Peraturan Presiden Nomor 20 Tahun 2020
"Sisa Lebih Perhitungan APBD Tahun Lalu adalah
selisih lebih realisasi pendapatan terhadap realisasi
Belanja Daerah dan merupakan komponen
pembiayaan.",Peraturan Menteri Nomor 29 Tahun 2002
"Neraca dan perhitungan laba rugi tahunan sebagaimana
dimaksud pada ayat (2) wajib terlebih dahulu diaudit oleh
kantor akuntan publik.",Undang-Undang Nomor 21 Tahun 2008
Kepala/direktur dan pegawai Badan Investasi Pemerintah dilarang terafiliasi dengan Badan Usaha yang menjadi penerima Investasi Pemerintah.,Peraturan Pemerintah Nomor 1 Tahun 2008
"Fatwa sebagaimana dimaksud pada ayat (2) dituangkan
dalam Peraturan Bank Indonesia.",Undang-Undang Nomor 21 Tahun 2008
Peringkat layak investasi atau yang setara sebagaimana dimaksud pada ayat (2) diterbitkan oleh perusahaan pemeringkat efek yang telah memperoleh izin dari lembaga pengawas di bidang pasar modal.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Pemerintah dapat melakukan pembelian kembali SBN
untuk kepentingan stabilisasi pasar dan pengelolaan kas
dengan tetap memperhatikan jumlah kebutuhan
penerbitan SBN neto untuk memenuhi kebutuhan
pembiayaan yang ditetapkan.",Undang-Undang Nomor 27 Tahun 2014
"Untuk menyelenggarakan kewenangan supervisi sebagaimana dimaksud dalam Pasal 11 ayat (3), Menteri Keuangan membentuk Komite Investasi Pemerintah yang bersifat ad hoc.",Peraturan Pemerintah Nomor 1 Tahun 2008
"Pemerintah dapat melakukan pembayaran bunga utang
dan pengeluaran cicilan pokok utang melebihi pagu yang
ditetapkan dalam Tahun Anggaran 2015, yang selanjutnya
dilaporkan Pemerintah dalam APBN Perubahan Tahun
Anggaran 2015 dan/atau Laporan Keuangan Pemerintah
Pusat (LKPP) Tahun 2015.",Undang-Undang Nomor 27 Tahun 2014
"Dalam hal terjadi perselisihan di dalam interpretasi
dan/atau implementasi naskah perjanjian Kerja Sama,
perselisihan diselesaikan antara Kementerian Koordinator
dengan Mitra Kerja Sama secara musyawarah untuk
mufakat.",Peraturan Menteri Nomor 2 Tahun 2021
"Bank Umum Konvensional yang akan melakukan kegiatan
usaha berdasarkan Prinsip Syariah wajib membuka UUS di
kantor pusat Bank dengan izin Bank Indonesia.",Undang-Undang Nomor 21 Tahun 2008
"Untuk kepentingan penyelidikan akan kebenaran keterangan-
keterangan dan angka-angka yang diberikannya, pengurus semua
perusahaan/badan yang berusaha/bekerja di Indonesia, atas
permintaan Menteri yang bersangkutan atau pejabat yang
ditunjuknya wajib memperlihatkan buku-buku dan segala surat-
surat lainnya untuk diperiksa.",Peraturan Pemerintah Pengganti Undang-Undang Nomor 7 Tahun 1962
"Sebelum pemberhentian karena alasan sebagaimana di atas dilakukan, anggota Direksi yang bersangkutan diberi kesempatan untuk membela diri secara tertulis kepada Menteri dalam waktu 1 (satu) bulan setelah diberitahukan tentang niat pemberhentian oleh Menteri.",Peraturan Pemerintah Nomor 18 Tahun 1983
"Pengamanan Arsip Dinamis adalah program perlindungan
fisik dan informasi Arsip Dinamis berdasarkan Klasifikasi
Keamanan Arsip Dinamis.",Peraturan Menteri Nomor 1 Tahun 2022
"Dalam pelaksanaan tugasnya, Satgas Investasi dibantu
oleh Sekretariat Satgas Investasi.",Peraturan Presiden Nomor 11 Tahun 2021
"Format Susunan Pendapatan Kabupaten/Kota beserta
kode rekeningnya tercantum dalam Lampiran III
Keputusan ini.",Peraturan Menteri Nomor 29 Tahun 2002
"Investasi Pemerintah adalah penempatan sejumlah dana dan/atau barang dalam jangka panjang untuk investasi pembelian surat berharga dan Investasi Langsung untuk memperoleh manfaat ekonomi, sosial, dan/atau manfaat lainnya.",Peraturan Pemerintah Nomor 1 Tahun 2008
"Penyalur sebagaimana dimaksud pada ayat (2) dan
ayat (3) terdiri atas penyalur yang dimiliki oleh Pemerintah
Pusat / Pemerintah Daerah atau terafiliasi dengan
lembaga milik Pemerintah Pusat / Pemerintah
Daerah dan. penyalur selain yang dimiliki oleh Pemerintah
Pusat / Pemerintah Daerah atau terafiliasi dengan
lembaga milik Pemerintah Pusat / Pemerintah
Daerah.",Peraturan Menteri Nomor 1 Tahun 2021
Hasil persetujuan Dewan Perwakilan Rakyat sebagaimana dimaksud pada ayat (3) disampaikan oleh BPKH kepada Menteri untuk ditetapkan paling lama 1 (satu) bulan.,Peraturan Pemerintah Nomor 5 Tahun 2018
"Untuk kepentingan peradilan dalam perkara pidana,
pimpinan Bank Indonesia dapat memberikan izin kepada
polisi, jaksa, hakim, atau penyidik lain yang diberi wewenang
berdasarkan undang-undang untuk memperoleh keterangan
dari Bank mengenai Simpanan atau Investasi tersangka atau
terdakwa pada Bank.",Undang-Undang Nomor 21 Tahun 2008
"Penataan organisasi Kementerian Pendidikan, Kebudayaan,
Riset, dan Teknologi dan Kementerian Investasi/
Badan Koordinasi Penanarnan Modal sebagaimana
dimaksud dalam Peraturan Presiden ini diselesaikan paling
lambat tanggal 31 Juli 2021.",Peraturan Presiden Nomor 31 Tahun 2021
"Aparat penegak hukum sebagaimana dimaksud pada ayat
(1) huruf b berwenang mengakses Arsip yang terkait
dengan perkara atau proses hukum yang sedang
ditanganinya dalam rangka melaksanakan fungsi
penegakan hukum.",Peraturan Menteri Nomor 1 Tahun 2022
"Pelaksanaan investasi pemerintah sebagaimana dimaksud pada ayat (1) dan (2), didasarkan pada penilaian kewajaran harga surat berharga yang dapat dilakukan oleh penasihat investasi.",Peraturan Pemerintah Nomor 8 Tahun 2007
"Anggaran Belanja Pemerintah Pusat sebagaimana
dimaksud pada ayat (1) dikelompokkan atas:
a. Belanja Pemerintah Pusat Menurut Organisasi;
b. Belanja Pemerintah Pusat Menurut Fungsi; dan
c. Belanja Pemerintah Pusat Menurut Program.",Undang-Undang Nomor 27 Tahun 2014
"Kewajiban yang timbul dari penggunaan dana SAL,
penarikan pinjaman siaga dan/atau penerbitan SBN
sebagai tambahan pembiayaan sebagaimana dimaksud
pada ayat (1) dibebankan pada anggaran negara.",Undang-Undang Nomor 27 Tahun 2014
Rekening Dana Tapera adalah rekening yang dibuka oleh Bank Kustodian atas perintah Badan Pengelola Tapera yang didalamnya terdapat subrekening atas nama Peserta untuk menampung pembayaran Simpanan dengan prinsip konvensional atau syariah dan hasil pemupukannya.,Peraturan Pemerintah Nomor 25 Tahun 2020
Kementerian Negara/Lembaga adalah kementerian negara/lembaga pemerintah non kementerian negara/lembaga negara yang merupakan perangkat Pemerintah Pusat.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Menteri Koordinator sebagaimana dimaksud pada ayat (1)
huruf a berwenang mengakses seluruh Arsip.",Peraturan Menteri Nomor 1 Tahun 2022
"Naskah Kesepakatan Kerja Sama Luar Negeri, meliputi:
kesepakatan para pihak yang ditulis dalam Kerja Sama
Payung dan kesepakatan para pihak atas pelaksanaan dari Kerja
Sama Payung.",Peraturan Menteri Nomor 2 Tahun 2021
BPKH wajib memindahkan dana dari Kas Haji ke kas satuan kerja penyelenggara ibadah haji paling lambat 10 (sepuluh) hari kerja setelah diterimanya surat permintaan pemindahan dana dari satuan kerja penyelenggara ibadah haji.,Peraturan Pemerintah Nomor 5 Tahun 2018
"Pengawas Internal sebagaimana dimaksud pada ayat (1)
huruf e berwenang mengakses seluruh Arsip dalam rangka
melaksanakan fungsi pengawasan internal sesuai dengan
ketentuan peraturan perundang-undangan.",Peraturan Menteri Nomor 1 Tahun 2022
Penghasilan adalah pendapatan bersih yang diterima oleh Pekerja Mandiri dari hasil usaha atau pekerjaan dalam proses produksi barang dan/atau jasa yang dinilai dalam bentuk uang.,Peraturan Pemerintah Nomor 8 Tahun 2007
Nilai manfaat DAU yang dapat digunakan untuk kemaslahatan umat Islam paling banyak sama dengan total nilai manfaat DAU dari tahun sebelumnya.,Peraturan Pemerintah Nomor 5 Tahun 2018
"Anggota Direksi harus memiliki pengetahuan, pengalaman, dan kemampuan yang diperhatikan untuk memimpin suatu perusahaan yang bergerak dalam bidang pengerukan serta akhlak moral yang baik.",Peraturan Pemerintah Nomor 18 Tahun 1983
"Arsip adalah rekaman kegiatan atau peristiwa dalam
berbagai bentuk dan media sesuai dengan perkembangan
teknologi informasi dan komunikasi yang dibuat dan
diterima oleh lembaga negara, pemerintah daerah, lembaga
pendidikan, perusahaan, organisasi politik, organisasi
kemasyarakatan, dan perseorangan dalam pelaksanaan
kehidupan bermasyarakat, berbangsa, dan bernegara.",Peraturan Menteri Nomor 1 Tahun 2022
"Koordinator Bidang mengoordinasikan,
mensinergikan, dan mensinkronkan program dan
kegiatan kementerian/lembaga dan pemerintah
daerah di Provinsi Papua dan Provinsi Papua Barat
terkait pelaksanaan kebijakan dan Rencana Aksi
Nasional Percepatan Pembangunan Kesejahteraan di
Provinsi Papua dan Provinsi Papua Barat.",Peraturan Presiden Nomor 20 Tahun 2020
Laporan keuangan Badan Investasi Pemerintah yang telah diaudit disampaikan kepada Menteri Keuangan setiap tahun anggaran paling lambat 5 (lima) bulan setelah tahun anggaran berakhir.,Peraturan Pemerintah Nomor 1 Tahun 2008
"Kerja sama pendanaan sebagaimana dimaksud pada
ayat (1) merupakan gabungan dana dengan proporsi
tertentu antara Badan Layanan Umum Pusat Investasi
Pemerintah pada Kementerian Keuangan, pemerintah
daerah, dan/ atau pihak lainnya.",Peraturan Menteri Nomor 1 Tahun 2021
"Prinsip Syariah sebagaimana dimaksud pada ayat (1)
difatwakan oleh Majelis Ulama Indonesia.",Undang-Undang Nomor 21 Tahun 2008
"Sistem Klasifikasi Keamanan dan Akses Arsip Dinamis
bertujuan untuk:
menyediakan layanan informasi Arsip Dinamis kepada
Publik dengan prinsip cepat, tepat, murah, dan aman;
menyediakan informasi yang dikategorikan terbuka dan
dapat diakses oleh Publik; dan
menjamin keamanan Arsip bagi Informasi yang
Dikecualikan.",Peraturan Menteri Nomor 1 Tahun 2022
"Dalam rangka upaya optimalisasi Piutang Negara sebagaimana dimaksud dalam Pasal 16, Penanggung Utang wajib menyampaikan permohonan penyelesaian utang kepada Menteri Keuangan melalui Direktur Jenderal Perbendaharaan dengan dilampiri rencana usaha sebagai dasar dalam rangka optimalisasi tingkat penyelesaian Piutang Negara sebagaimana dimaksud dalam Pasal 16 ayat (3) dan/atau Penghapusan Secara Bersyarat atau Penghapusan Secara Mutlak.",Peraturan Pemerintah Nomor 8 Tahun 2007
Penunjukan satuan kerja perangkat daerah sebagaimana dimaksud pada ayat (75) dilakukan dengan mempertimbangkan ketentuan mengenai organisasi perangkat daerah.,Peraturan Pemerintah Nomor 1 Tahun 2008
"Dalam rangka tukar-menukar informasi antarbank, direksi
Bank dapat memberitahukan keadaan keuangan
Nasabahnya kepada Bank lain.",Undang-Undang Nomor 21 Tahun 2008
"Kewenangan pengelolaan investasi pemerintah sebagaimana dimaksud dalam Pasal 12 meliputi kewenangan regulasi, supervisi, dan operasional.",Peraturan Pemerintah Nomor 8 Tahun 2007
Peserta sebagaimana dimaksud pada ayat (2) telah berusia paling rendah 20 (dua puluh) tahun atau sudah kawin pada saat mendaftar.,Peraturan Pemerintah Nomor 25 Tahun 2020
"Pendapatan Pajak Lainnya sebagaimana dimaksud
pada ayat (2) huruf e direncanakan sebesar
Rp5.689.120.000.000,00 (lima triliun enam ratus delapan
puluh sembilan miliar seratus dua puluh juta rupiah).",Undang-Undang Nomor 27 Tahun 2014
"Subbidang Perancangan Pusat mempunyai tugas melakukan perancangan dan perumusan kebijakan
hukum Lingkungan yang berkait dengan peraturan perundang-undangan pusat.",Peraturan Menteri Nomor 9 Tahun 2001
"Pengelola Keuangan Daerah adalah pejabat pemegang
kekuasaan penggunaan anggaran Belanja Daerah.",Peraturan Menteri Nomor 29 Tahun 2002
Imbal jasa untuk Bank Kustodian sebagaimana dimaksud pada ayat (1) sebesar persentase tertentu dari Dana Tapera.,Peraturan Pemerintah Nomor 8 Tahun 2007
"Anggota Direksi tidak boleh memangku pekerjaan, jabatan atau
tugas lain yang digaji.",Peraturan Pemerintah Pengganti Undang-Undang Nomor 21 Tahun 1960
"Investasi pemerintah dalam rangka pengembangan bidang usaha BUMN/BUMD sebagaimana dimaksud dalam Pasal 4 ayat (1) huruf c, dimaksudkan untuk meningkatkan kinerja BUMN/BUMD.",Peraturan Pemerintah Nomor 8 Tahun 2007
"Bidang Budaya membawahkan:
Subbidang Budaya Lingkungan;
Subbidang Pranata Adat.",Peraturan Menteri Nomor 9 Tahun 2001
"Pada pertengahan Tahun Anggaran 2015, Pemerintah
menyusun laporan realisasi pelaksanaan APBN Semester
Pertama Tahun Anggaran 2015 mengenai:
a. realisasi Pendapatan Negara;
b. realisasi Belanja Negara; dan
c. realisasi Pembiayaan Anggaran.",Undang-Undang Nomor 27 Tahun 2014
"Naskah kesepakatan Kerja Sama Luar Negeri dituangkan
dalam bentuk-bentuk Perjanjian Internasional yang lazim
digunakan sesuai dengan pertimbangan Kementerian Luar
Negeri.",Peraturan Menteri Nomor 2 Tahun 2021
"Bidang Budaya mempunyai tugas melaksanakan koordinasi, penyiapan penyusunan telaahan staf, pengkajian
dan evaluasi serta penyusunan rancangan rumusan kebijakan aspek budaya dalam pengelolaan Lingkungan.",Peraturan Menteri Nomor 9 Tahun 2001
"Untuk menurunkan biaya penerbitan SBN dan
memastikan ketersediaan pembiayaan melalui utang,
Pemerintah dapat menerima jaminan penerbitan utang
dari lembaga yang dapat menjalankan fungsi penjaminan,
dan/atau menerima fasilitas dalam bentuk dukungan
pembiayaan.",Undang-Undang Nomor 27 Tahun 2014
"Bendahara Umum Daerah adalah pejabat yang diberi
kewenangan oleh Pemegang Kekuasaan Umum
Pengelolaan Keuangan Daerah untuk mengelola
penerimaan dan pengeluaran Kas Daerah serta segala
bentuk kekayaan Daerah lainnya.",Peraturan Menteri Nomor 29 Tahun 2002
