peraturan1,peraturan2,sumber1,sumber2,similaritas,peraturan1_sebelum_diolah,peraturan2_sebelum_diolah
deputi iii unsur laksana bagi tugas dan fungsi menteri negara lh ada di bawah dan tanggung jawab langsung kepada menteri negara lh,masuk dari masyarakat atas rancang atur daerah di dokumentasi dan di lampir pada atur daerah tentang apbd,permen-9-2001-5.pdf,permen-29-2002-5.pdf,netral,"Deputi III adalah unsur pelaksana sebagian tugas dan fungsi Menteri Negara LH yang berada di bawah dan
bertanggung jawab langsung kepada Menteri Negara LH.","Masukan dari masyarakat atas Rancangan Peraturan
Daerah didokumentasikan dan dilampirkan pada
Peraturan Daerah tentang APBD."
dalam laksana tugas di maksud dalam pasal 9 dan biro umum selenggara fungsi bina dan layan administrasi pegawai dan kelola administrasi umum dan dokumentasi dan dan pustaka kelola administrasi uang kelola urus rumah tangga,dalam laksana tugas di maksud dalam pasal 9 dan biro umum selenggara fungsi bina dan layan administrasi pegawai dan kelola administrasi umum dan dokumentasi dan dan pustaka kelola urus rumah tangga,permen-9-2001-5.pdf,permen-9-2001-5.pdf,kontradiksi,"Dalam melaksanakan tugas sebagaimana dimaksud dalam Pasal 9, Biro Umum menyelenggarakan fungsi:
pembinaan dan pelayanan administrasi kepegawaian;
pengelolaan administrasi umum, dokumentasi, dan perpustakaan;
pengelolaan administrasi keuangan;
pengelolaan urusan rumah tangga.","Dalam melaksanakan tugas sebagaimana dimaksud dalam Pasal 9, Biro Umum menyelenggarakan fungsi:
pembinaan dan pelayanan administrasi kepegawaian;
pengelolaan administrasi umum, dokumentasi, dan perpustakaan;
pengelolaan urusan rumah tangga."
uang daerah semua hak dan wajib daerah dalam rangka selenggara perintah daerah dapat di nilai dengan uang dan ter masuk di dalam segala bentuk kaya hubung dengan hak dan wajib daerah ter sebut dan dalam kerangka anggar dapat dan belanja daerah,uang daerah seluruh hak dan wajib daerah dalam rangka selenggara perintah daerah dapat di nilai dengan uang dan ter masuk di dalam segala bentuk kaya hubung dengan hak dan wajib daerah dalam kerangka anggar dapat dan belanja daerah,permen-29-2002-5.pdf,permen-29-2002-5.pdf,selaras,"Keuangan Daerah adalah semua hak dan kewajiban
Daerah dalam rangka penyelenggaraan pemerintahan
Daerah yang dapat dinilai dengan uang, termasuk di
dalamnya segala bentuk kekayaan yang berhubungan
dengan hak dan kewajiban Daerah tersebut, dalam
kerangka Anggaran Pendapatan dan Belanja Daerah.","Keuangan Daerah adalah seluruh hak dan kewajiban
Daerah dalam rangka penyelenggaraan pemerintahan
Daerah yang dapat dinilai dengan uang, termasuk di
dalamnya segala bentuk kekayaan yang berhubungan
dengan hak dan kewajiban Daerah dalam
kerangka Anggaran Pendapatan dan Belanja Daerah."
dalam hal tidak ter dapat standar akuntansi uang di maksud pada ayat 49 badan investasi perintah dapat terap standar akuntansi uang spesifik telah dapat tuju menteri uang,bpkh wajib pindah dana dari kas haji ke kas satu kerja selenggara ibadah haji paling lambat 10 puluh hari kerja telah di terima surat minta pindah dana dari satu kerja selenggara ibadah haji,pp-1-2008-3.pdf - Google Drive,pp-5-2018-3.pdf - Google Drive,netral,"Dalam hal tidak terdapat standar akuntansi keuangan sebagaimana dimaksud pada ayat (49), Badan Investasi Pemerintah dapat menerapkan standar akuntansi keuangan yang spesifik setelah mendapat persetujuan Menteri Keuangan.",BPKH wajib memindahkan dana dari Kas Haji ke kas satuan kerja penyelenggara ibadah haji paling lambat 10 (sepuluh) hari kerja setelah diterimanya surat permintaan pemindahan dana dari satuan kerja penyelenggara ibadah haji.
hasil likuidasi atas semua aset di maksud pada ayat 1 di serah kembali oleh tim kepada pegawai negeri sipil,hasil likuidasi atas semua aset di maksud pada ayat 1 di serah kembali oleh tim kepada pegawai negeri sipil,pp-25-2020-3.pdf - Google Drive,pp-25-2020-3.pdf - Google Drive,selaras,Hasil likuidasi atas semua aset sebagaimana dimaksud pada ayat (1) diserahkan kembali oleh tim kepada Pegawai Negeri Sipil,Hasil likuidasi atas semua aset sebagaimana dimaksud pada ayat (1) diserahkan kembali oleh tim kepada Pegawai Negeri Sipil
bijak akuntansi dan sistem akuntansi kelola uang haji di maksud pada ayat 3 di susun sesuai dengan standar akuntansi uang,untuk laksana penatausahaan kelola uang haji di maksud pada ayat 2 huruf b dan badan laksana tetap bijak akuntansi dan sistem akuntansi kelola uang haji,pp-5-2018-3.pdf - Google Drive,pp-5-2018-3.pdf - Google Drive,netral,Kebijakan akuntansi dan sistem akuntansi pengelolaan Keuangan Haji sebagaimana dimaksud pada ayat (3) disusun sesuai dengan standar akuntansi keuangan.,"Untuk melaksanakan penatausahaan pengelolaan Keuangan Haji sebagaimana dimaksud pada ayat (2) huruf b, badan pelaksana menetapkan kebijakan akuntansi dan sistem akuntansi pengelolaan Keuangan Haji."
investasi perintah di maksud pada ayat 1 tuju untuk tingkat tumbuh ekonomi dalam rangka maju sejahtera umum,investasi perintah di maksud pada ayat 1 tuju untuk tingkat tumbuh ekonomi dalam rangka maju sejahtera umum,pp-8-2007-3.pdf - Google Drive,pp-8-2007-3.pdf - Google Drive,selaras,Investasi pemerintah sebagaimana dimaksud pada ayat (1) bertujuan untuk meningkatkan pertumbuhan ekonomi dalam rangka memajukan kesejahteraan umum.,Investasi pemerintah sebagaimana dimaksud pada ayat (1) bertujuan untuk meningkatkan pertumbuhan ekonomi dalam rangka memajukan kesejahteraan umum.
biaya transaksi uang daerah di maksud untuk tutup selisih antara dapat daerah dan belanja daerah,biaya transaksi uang daerah di maksud untuk tutup selisih dapat daerah dan belanja daerah,permen-29-2002-5.pdf,permen-29-2002-5.pdf,selaras,"Pembiayaan adalah transaksi keuangan daerah yang
dimaksudkan untuk menutup selisih antara
Pendapatan Daerah dan Belanja Daerah.","Pembiayaan adalah transaksi keuangan daerah yang
dimaksudkan untuk menutup selisih
Pendapatan Daerah dan Belanja Daerah."
bidang ekosistem pesisir bawah subbidang manfaat ekosistem pesisir subbidang lestari ekosistem pesisir,bentuk dana cadang di maksud pada ayat 3 di tetap dengan atur daerah,permen-9-2001-5.pdf,permen-29-2002-5.pdf,netral,"Bidang Ekosistem Pesisir membawahkan:
Subbidang Pemanfaatan Ekosistem Pesisir;
Subbidang Pelestarian Ekosistem Pesisir.","Pembentukan Dana Cadangan sebagaimana
dimaksud pada Ayat
(3) ditetapkan dengan Peraturan Daerah."
guna laba bersih ter cantum dalam hitung laba rugi telah di sah turut tentu pasal 29 atur perintah ini laba usaha telah di rang pajak ter hutang dasar atur undang undang laku telah ter lebih dahulu di rang dengan cadang tuju besar 5 lima persen di tetap bagai ikut,guna laba bersih ter cantum dalam hitung laba rugi telah di sah turut tentu pasal 29 atur perintah ini laba usaha telah di rang pajak ter hutang dasar atur undang undang laku telah ter lebih dahulu di rang dengan cadang tuju besar 5 lima persen di tetap bagai ikut,pp-18-1983-3.pdf - Google Drive,pp-18-1983-3.pdf - Google Drive,selaras,"Penggunaan laba bersih sebagaimana tercantum dalam perhitungan laba rugi yang telah disahkan menurut ketentuan Pasal 29 Peraturan Pemerintah ini, yakni laba Perusahaan yang telah dikurangi pajak yang terhutang berdasarkan peraturan perundang-undangan yang berlaku; setelah terlebih dahulu dikurangi dengan cadangan tujuan sebesar 5% (lima persen), ditetapkan sebagai berikut:","Penggunaan laba bersih sebagaimana tercantum dalam perhitungan laba rugi yang telah disahkan menurut ketentuan Pasal 29 Peraturan Pemerintah ini, yakni laba Perusahaan yang telah dikurangi pajak yang terhutang berdasarkan peraturan perundang-undangan yang berlaku; setelah terlebih dahulu dikurangi dengan cadangan tujuan sebesar 5% (lima persen), ditetapkan sebagai berikut:"
dana depresiasi dana di sisih untuk ganti aset pada akhir masa umur ekonomis,dana depresiasi dana di sisih untuk ganti aset pada awal masa umur ekonomis,permen-29-2002-5.pdf,permen-29-2002-5.pdf,kontradiksi,"Dana Depresiasi adalah dana yang disisihkan untuk
penggantian aset pada akhir masa umur
ekonomisnya.","Dana Depresiasi adalah dana yang disisihkan untuk
penggantian aset pada awal masa umur
ekonomisnya."
beri mudah sedia fasilitas non fisikal dari perintah daerah kepada masyarakat dan atau investor untuk mudah tiap giat investasi dan untuk tingkat investasi di daerah,beri mudah sedia fasilitas non fisikal dari perintah daerah kepada masyarakat dan atau investor untuk mudah tiap giat investasi dan untuk tingkat investasi di daerah,pp-24-2019-3.pdf - Google Drive,pp-24-2019-3.pdf - Google Drive,selaras,Pemberian Kemudahan adalah penyediaan fasilitas nonfisikal dari Pemerintah Daerah kepada Masyarakat dan/atau Investor untuk mempermudah setiap kegiatan investasi dan untuk meningkatkan investasi di daerah.,Pemberian Kemudahan adalah penyediaan fasilitas nonfisikal dari Pemerintah Daerah kepada Masyarakat dan/atau Investor untuk mempermudah setiap kegiatan investasi dan untuk meningkatkan investasi di daerah.
bagi kerjasama multilateral punya tugas laksana administrasi kerjasama multilateral liput lembaga serikat bangsa bangsa lembaga pbb dan lembaga non serikat bangsa bangsa lembaga non pbb dan dan lembaga regional serta bantu luar negeri di bidang lingkung hidup,bagi kerjasama multilateral punya tugas laksana administrasi kerjasama multilateral liput lembaga serikat bangsa bangsa lembaga pbb dan dan lembaga regional serta bantu luar negeri di bidang lingkung hidup,permen-9-2001-5.pdf,permen-9-2001-5.pdf,kontradiksi,"Bagian Kerjasama Multilateral mempunyai tugas melaksanakan administrasi kerjasama multilateral meliputi
lembaga Perserikatan Bangsa-Bangsa (Lembaga PBB), lembaga non Perserikatan Bangsa-Bangsa (Lembaga
Non-PBB), dan lembaga regional serta bantuan luar negeri di bidang lingkungan hidup.","Bagian Kerjasama Multilateral mempunyai tugas melaksanakan administrasi kerjasama multilateral meliputi
lembaga Perserikatan Bangsa-Bangsa (Lembaga PBB), dan lembaga regional serta bantuan luar negeri di bidang lingkungan hidup."
dalam hal serta kerja pindah tempat kerja serta kerja harus memberitahukan serta dalam program tapera kepada beri kerja baru dengan tunjuk nomor identitas serta,dalam hal serta kerja pindah tempat kerja serta kerja harus memberitahukan serta dalam program tapera kepada beri kerja baru dengan tunjuk nomor identitas serta,pp-25-2020-3.pdf - Google Drive,pp-25-2020-3.pdf - Google Drive,selaras,"Dalam hal Peserta Pekerja pindah tempat kerja, Peserta Pekerja harus memberitahukan kepesertaannya dalam program Tapera kepada Pemberi Kerja baru dengan menunjukkan nomor identitas kepesertaan.","Dalam hal Peserta Pekerja pindah tempat kerja, Peserta Pekerja harus memberitahukan kepesertaannya dalam program Tapera kepada Pemberi Kerja baru dengan menunjukkan nomor identitas kepesertaan."
bagi rencana bawah subbagian susun program subbagian evaluasi program,tiap jabat penandatangan naskah sepakat kerja sama selain menteri koordinator dan wajib dapat tuju dari menteri koordinator untuk menandatangani naskah sepakat kerja sama dalam negeri dan naskah sepakat kerja sama luar negeri,permen-9-2001-5.pdf,permen-2-2021-5.pdf,netral,"Bagian Perencanaan membawahkan:
Subbagian Penyusunan Program;
Subbagian Evaluasi Program.","Setiap pejabat penandatangan naskah kesepakatan Kerja
Sama selain Menteri Koordinator, wajib mendapatkan
persetujuan dari Menteri Koordinator untuk
menandatangani Naskah Kesepakatan Kerja Sama Dalam
Negeri dan Naskah Kesepakatan Kerja Sama Luar Negeri."
anggota di direksi tidak boleh dagang atau punya penting pada usaha dagang mana juga,bendahara umum daerah di maksud pada ayat 3 bertanggungjawab kepada kepala daerah,perpu-21-1960-2.pdf,permen-29-2002-5.pdf,netral,"Anggota Direksi tidak boleh berdagang atau mempunyai
kepentingan pada usaha dagang yang manapun juga.","Bendahara Umum Daerah sebagaimana dimaksud
pada Ayat
(3) bertanggungjawab kepada Kepala Daerah."
rahasia klasifikasi informasi dari arsip apabila di tahu oleh pihak tidak milik hak dapat akibat ter ganggu fungsi selenggara negara sumber daya nasional dan atau tertib umum,laku akuntansi di maksud pada ayat 4 ter diri dari definisi dan aku dan ukur dan nilai dan ungkap dapat dan belanja dan biaya dan aktiva dan utang serta ekuitas dana,permen-1-2022-5.pdf,permen-29-2002-5.pdf,netral,"Rahasia adalah klasifikasi informasi dari Arsip yang apabila
diketahui oleh pihak yang tidak berhak dapat
mengakibatkan terganggunya fungsi penyelenggaraan
negara, sumber daya nasional dan/atau ketertiban umum.","Perlakuan akuntansi sebagaimana dimaksud pada
Ayat
(4) terdiri dari definisi, pengakuan, pengukuran,
penilaian dan pengungkapan pendapatan, belanja,
pembiayaan, aktiva, utang serta ekuitas dana."
belanja daerah di maksud pada ayat liput semua keluar rupa wajib daerah dalam satu tahun anggar akan jadi keluar kas daerah,belanja daerah di maksud pada ayat liput semua keluar wajib daerah dalam satu tahun anggar akan jadi keluar kas daerah,permen-29-2002-5.pdf,permen-29-2002-5.pdf,selaras,"Belanja Daerah sebagaimana dimaksud pada Ayat
meliputi semua pengeluaran yang merupakan
kewajiban Daerah dalam satu Tahun Anggaran yang
akan menjadi pengeluaran Kas Daerah.","Belanja Daerah sebagaimana dimaksud pada Ayat
meliputi semua pengeluaran wajib daerah 
dalam satu Tahun Anggaran yang
akan menjadi pengeluaran Kas Daerah."
isi dana deprisiasi di maksud dalam pasal 13 ayat 2 tiap tahun di anggar dalam kelompok biaya jenis keluar daerah obyek transfer ke dana deprisiasi,keluar lain sangat di perlu dalam rangka selenggara wenang perintah daerah di maksud pada ayat 3 dan keluar keluar sangat di butuh untuk sedia sarana dan pra sarana langsung dengan layan masyarakat dan anggar tidak ter sedia dalam tahun anggar sangkut dan dan kembali atas lebih terima ter jadi dalam tahun anggar telah di tutup dengan di dukung bukti bukti sah,permen-29-2002-5.pdf,permen-29-2002-5.pdf,netral,"Pengisian Dana Deprisiasi sebagaimana dimaksud
dalam Pasal 13 Ayat
(2) setiap tahun dianggarkan dalam Kelompok
Pembiayaan, Jenis Pengeluaran Daerah, Obyek
Transfer ke Dana Deprisiasi.","Pengeluaran lainnya yang sangat diperlukan dalam
rangka penyelenggaraan kewenangan pemerintahan
daerah sebagaimana dimaksud pada Ayat
(3) , yaitu:
a. pengeluaran-pengeluaran yang sangat
dibutuhkan untuk penyediaan sarana dan
prasarana langsung dengan pelayanan
masyarakat, yang anggarannya tidak tersedia
dalam Tahun Anggaran yang bersangkutan; dan
b. pengembalian atas kelebihan penerimaan yang
terjadi dalam Tahun Anggaran yang telah ditutup
dengan didukung bukti-bukti yang sah."
tahap pantau dan evaluasi kerja sama di laku oleh pemrakarsa sama dengan biro hukum dan unit kerja ter kait di lingkup menteri,tahap pantau dan evaluasi kerja sama di laksana oleh pemrakarsa sama biro hukum dan unit kerja ter kait di lingkup menteri,permen-2-2021-5.pdf,permen-2-2021-5.pdf,selaras,"Tahapan pemantauan dan evaluasi Kerja Sama dilakukan
oleh Pemrakarsa bersama dengan Biro Hukum dan Unit
Kerja terkait di lingkup Kementerian.","Tahapan pemantauan dan evaluasi Kerja Sama dilaksanakan
oleh Pemrakarsa bersama Biro Hukum dan Unit
Kerja terkait di lingkup Kementerian."
masing masing bagi belanja di maksud pada ayat 4 di dirinci turut kelompok belanja liput belanja administrasi umum dan belanja operasi dan pelihara serta belanja modal,tuju di maksud dalam ayat 4 di terbit lambat lambat 4 empat hari kerja sejak mohon lengkap dan benar di terima,permen-29-2002-5.pdf,permen-38-1999-5.pdf,netral,"Masing-masing bagian belanja sebagaimana
dimaksud pada Ayat
(4) dirinci menurut Kelompok Belanja yang meliputi
Belanja Administrasi Umum, Belanja Operasi dan
Pemeliharaan serta Belanja Modal.","Persetujuan sebagaimana yang dimaksud dalam ayat (4) diterbitkan selambat-lambatnya
4 (empat) hari kerja sejak permohonan yang lengkap dan benar diterima."
bank dan pihak ter afiliasi wajib rahasia terang kena nasabah simpan dan simpan serta nasabah investor dan investasi,bank dan pihak ter afiliasi wajib rahasia informasi nasabah simpan dan simpan serta nasabah investor dan investasi,uu-21-2008-2.pdf,uu-21-2008-2.pdf,selaras,"Bank dan Pihak Terafiliasi wajib merahasiakan keterangan
mengenai Nasabah Penyimpan dan Simpanannya serta Nasabah
Investor dan Investasinya.","Bank dan Pihak Terafiliasi wajib merahasiakan informasi 
Nasabah Penyimpan dan Simpanannya serta Nasabah
Investor dan Investasinya."
tempat dana efisiensi selenggara ibadah haji ke kas haji di maksud pada ayat 2 di laku paling lambat 1 satu bulan telah lapor hasil audit oleh badan periksa uang di terima,dana efisiensi selenggara ibadah haji di maksud pada ayat 1 di tempat pada kas haji,pp-5-2018-3.pdf - Google Drive,pp-5-2018-3.pdf - Google Drive,netral,Penempatan dana efisiensi Penyelenggaraan Ibadah Haji ke Kas Haji sebagaimana dimaksud pada ayat (2) dilakukan paling lambat 1 (satu) bulan setelah laporan hasil audit oleh Badan Pemeriksa Keuangan diterima.,Dana efisiensi Penyelenggaraan Ibadah Haji sebagaimana dimaksud pada ayat (1) ditempatkan pada Kas Haji.
sumber dana investasi dapat asal dari anggar dapat dan belanja negara untung investasi ter dahulu dana barang amanat pihak lain di kelola perintah dan atau sumber sumber lain sah,peringkat layak investasi atau tara di maksud pada ayat 2 di terbit oleh usaha peringkat efek telah oleh izin dari lembaga awas di bidang pasar modal,pp-8-2007-3.pdf - Google Drive,pp-8-2007-3.pdf - Google Drive,netral,Sumber dana investasi dapat berasal dari: a. Anggaran Pendapatan dan Belanja Negara; b. keuntungan investasi terdahulu; c. dana/barang amanat pihak lain yang dikelola pemerintah; dan/atau d. sumber-sumber lainnya yang sah.,Peringkat layak investasi atau yang setara sebagaimana dimaksud pada ayat (2) diterbitkan oleh perusahaan pemeringkat efek yang telah memperoleh izin dari lembaga pengawas di bidang pasar modal.
subbagian surat punya tugas laku urus umum dan siap surat surat dan ganda dan cela dan dan arsip,dalam laksana tugas di maksud dalam pasal 32 dan bagi rencana selenggara fungsi siap bahan rumus bijak dan kaji kembang rencana program kelola lingkung hidup dan siap bahan koordinasi susun rencana dan strategi dan program kerja jangka panjang dan jangka tengah dan tahun di bidang kelola lingkung hidup siap bahan koordinasi evaluasi laksana program di bidang lingkung hidup,permen-9-2001-5.pdf,permen-9-2001-5.pdf,netral,"Subbagian Persuratan mempunyai tugas melakukan urusan umum, penyiapan surat menyurat,
penggandaan, pencelakan, dan kearsipan.","Dalam melaksanakan tugas sebagaimana dimaksud dalam Pasal 32, Bagian Perencanaan menyelenggarakan
fungsi:
penyiapan bahan rumusan kebijakan dan pengkajian pengembangan perencanaan program pengelolaan
lingkungan hidup;
penyiapan bahan koordinasi penyusunan rencana, strategi, program kerja jangka panjang, jangka
menengah dan tahunan di bidang pengelolaan lingkungan hidup;
penyiapan bahan koordinasi evaluasi pelaksanaan program di bidang lingkungan hidup."
lapor di maksud pada ayat 56 di sampai kepada menteri uang,menteri uang terima lapor di maksud pada ayat 56,pp-1-2008-3.pdf - Google Drive,pp-1-2008-3.pdf - Google Drive,selaras,Laporan sebagaimana dimaksud pada ayat (56) disampaikan kepada Menteri Keuangan.,Menteri Keuangan menerima laporan sebagaimana dimaksud pada ayat (56).
sekretariat di maksud pada ayat 1 punya tugas beri dukung subtantif dan teknis dan dan administratif kepada tim laksana,ruang lingkup kerja sama di lingkung menteri koordinator di laksana acu kepada rencana strategis menteri koordinator telah di tetap,perpres-20-2020-4.pdf,permen-2-2021-5.pdf,netral,"Sekretariat sebagaimana dimaksud pada ayat (1)
mempunyai tugas memberikan dukungan subtantif,
teknis, dan administratif kepada Tim Pelaksana.","Ruang Lingkup Kerja Sama di lingkungan Kementerian
Koordinator dilaksanakan mengacu kepada rencana
strategis Kementerian Koordinator yang telah ditetapkan."
ruang lingkup akan di dikerjasamakan oleh menteri koordinator timbang tugas dan fungsi serta dukung indikator kerja utama di bidang maritim dan investasi,bidang atmosfer punya tugas laksana koordinasi dan susun telaah staf dan kaji dan evaluasi serta susun rancang rumus bijak lindung atmosfer,permen-2-2021-5.pdf,permen-9-2001-5.pdf,netral,"Ruang lingkup yang akan dikerjasamakan oleh Kementerian
Koordinator mempertimbangkan tugas dan fungsi serta
mendukung indikator kinerja utama di Bidang Kemaritiman
dan Investasi.","Bidang Atmosfer mempunyai tugas melaksanakan koordinasi, penyusunan telaah staf, pengkajian dan evaluasi
serta penyusunan rancangan rumusan kebijakan perlindungan atmosfer."
